undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,distance_to_logtis,distance_to_distance,snorkel_logits_17,snorkel_logits_37,snorkel_logits_57,snorkel_logits_77,snorkel_logits_97,snorkel_distance_01,snorkel_distance_03,snorkel_distance_05,snorkel_distance_07,snorkel_distance_09,snorkel_label
-4.223587,3.430138,0.020014465,0.012878656,1,0,1,0.32581182484338883,0.0035933281744710186,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4.980137,-5.9183707000000005,1.9231779999999998,0.0013394951999999999,0,0,0,0.46411593394516154,0.9689598512045436,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
-4.0515313,3.0986452,0.0045583844,0.010478139000000001,1,1,1,0.30434880771067485,0.0029802104249016144,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-1.6599853999999998,2.5632455000000003,0.27741253,0.15797633,1,0,1,0.17959203937689597,0.06021362658027205,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1
-1.1033578000000002,5.3178152999999995,0.29365546,1.8425669999999998,1,1,1,0.273276105748487,0.7809352518018073,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.9572794,5.6123400000000006,0.010343373000000001,1.7549362000000002,1,1,1,0.3648504818922269,0.8795950406387956,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.915035,5.8553576,0.0042410493,1.8681769,1,1,1,0.37340814541697137,0.9397661366997574,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-3.0669928,5.3199086,0.008049309000000001,1.494756,1,1,1,0.35706239481728724,0.7495724303431734,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.915035,5.8553576,0.0042410493,1.8681769,1,1,1,0.37340814541697137,0.9397661366997574,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-3.2043667,4.770818,0.0066266656000000005,1.6943128,1,1,1,0.3395135736294087,0.8509034760983017,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-3.1965141,5.088571,0.016234696,1.1250396999999999,1,1,1,0.3527226241868722,0.55903964505665,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-4.1511626,2.6878387999999998,0.0013474226,0.0020224452,1,1,1,0.29108542493309936,0.00033588934770739334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-4.180366,2.7096925,0.0010003447999999999,0.0025567412,1,1,1,0.29326165902385065,0.0007802657841443182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6.042153400000001,-3.3120502999999997,1.9728028999999998,1.5406038999999998,0,0,0,0.3982922382929677,0.21790428917319096,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1
4.973082499999999,-5.446892299999999,1.975014,0.038279176,0,0,0,0.4437191701155258,0.9764703685833485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
6.7025685,-2.5676956000000004,1.9405522000000002,1.8649018,0,0,0,0.3947144358113534,0.0381374339698945,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
6.727524799999999,-2.6914206000000003,1.9609776999999997,1.9215865,0,0,0,0.40105175841129,0.01985604860984126,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
5.299656,-4.752293,1.975014,0.31999594,0,0,0,0.4280326095346071,0.8344326864207225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.4605837,-5.4834228,1.9466546000000002,0.05151522,0,0,0,0.4660552536411153,0.9554985230658937,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
6.4217,-2.5383377,1.9359276,1.8745162,0,0,0,0.3814914899814677,0.030958327808098436,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
5.225395,-5.1481996,1.8771651999999999,0.0075677037,0,0,0,0.44174228203579036,0.942620659827285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
-4.2497425,2.813627,0.004352689,0.012162566000000001,1,1,1,0.30064878650469473,0.003933183903965289,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-2.5959184,5.5135307000000005,0.011528908999999999,1.9701464,1,1,1,0.34523639698706654,0.9875033055519721,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-4.1780896,2.725631,0.0018194914,0.015947461,1,1,1,0.29384398602188333,0.007118678497367838,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-4.234039,2.8091145,0.0046866536,0.012726723999999998,1,1,1,0.2997871091203813,0.004049244221146701,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-2.8190677,5.5080667000000005,0.001985073,1.8638694,1,1,1,0.3545149139987148,0.9387317869254937,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-3.148525,5.0212283,0.0019130110999999999,1.6684911,1,1,1,0.347806775168661,0.8402610925381837,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.7846577,5.825409400000001,0.007447004300000001,1.9578644,1,1,1,0.36657450585035384,0.983368931319544,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.5744588,5.5990925,0.028452277,1.9543383,1,1,1,0.34796865935473253,0.97100055370118,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.7777047,5.6936626,0.005518377,1.9586667000000002,1,1,1,0.36066263006539173,0.9847458269587634,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.6775,5.6689615,0.008435249,1.9525008000000001,1,1,1,0.35533870332273365,0.9801664193858027,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
5.119806,-4.400992,1.8810303,0.72012246,0,0,0,0.40539307627602683,0.5853091717772516,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
4.1349664,-2.2400641,1.5980325,1.4985305,0,0,0,0.27130934502067633,0.050163079628205605,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
4.6600204000000005,-2.1872722999999996,1.8243446,1.6618456999999998,0,0,0,0.2914388294491539,0.08192524220732278,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1
5.359714,-5.5420300000000005,1.9536625,0.0037171245,0,0,0,0.4642538764916027,0.9831309452863736,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
4.664752,-3.447767,1.7657377,0.42667204,0,0,0,0.3453672469772774,0.6751338717796497,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
6.069273,-2.9931407,1.9325211,1.8426658,0,0,0,0.38585511700444314,0.045299347385000494,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
5.2731133,-5.4412335999999994,1.952739,0.008910954,0,0,0,0.45626634963387014,0.9800466726613868,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.2999954,-5.552086,1.9636159,0.013648212,0,0,0,0.4621370809204608,0.9831421949391745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.763317,-4.4495907,1.9574261000000002,0.8623037,0,0,0,0.4348932383236102,0.5521410660352432,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
4.6263623,-4.606264599999999,1.5701108,0.63144004,0,0,0,0.39311020529844865,0.4732603207057191,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.728855599999999,-4.4610395,1.9601837,0.42977887,0,0,0,0.43391235996121164,0.7716044254940911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.6458835999999994,-4.143376399999999,1.962388,0.9501460999999999,0,0,0,0.416835875739202,0.5103538683217286,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
-1.5549785,4.5963745000000005,0.03895563,1.9022564999999998,1,1,1,0.26177541926237774,0.9394459882443889,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-1.4617221000000002,4.304199,0.036114573,1.9521066999999999,1,1,1,0.24534694916824673,0.9660121886658705,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-1.4517676000000002,4.4946704,0.047263145,1.9167313999999998,1,1,1,0.25304121758021586,0.9425554981577021,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.2672276,5.343608000000001,0.012837887,1.8996876,1,1,0,0.32398372699976147,0.9513189880255861,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1
4.7486486,-4.703634,1.8808918000000001,0.0014320016,0,0,0,0.40247270772353444,0.9475930956567397,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.0644045,-5.2286277000000005,1.9309528000000002,0.0033984184000000004,0,0,0,0.4383084277567039,0.9718417169503791,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
-2.5610342,5.870411,0.0039631724,1.924609,1,1,1,0.3589610090372803,0.9683585199147374,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-1.6012768,4.545734400000001,0.03761804,1.9032848000000002,1,1,1,0.2615903563979529,0.9406388371436891,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
5.155417400000001,-4.2374339999999995,1.8684081999999997,0.7444159,0,0,1,0.39993953988802755,0.5666968688992386,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
-3.0100274,5.8172984,0.015819073,1.9514368999999998,1,1,1,0.37583483966195524,0.9759071941999361,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.4842063999999997,5.6527157,0.006289482,1.8691792,1,1,1,0.34640739336514537,0.9392386911128043,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
3.5372443,-2.1574588,1.6882112,0.7913991,0,0,1,0.24231138624996254,0.4521557653345186,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1
5.893689599999999,-2.4201772,1.9281939,1.9266956000000002,0,0,0,0.3539494019852544,0.0007509743856457966,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
-6.740227,6.9355974,0.017248034,1.6569318,1,1,1,0.5824949896172025,0.8267013482268751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-2.6877897,5.955214499999999,0.0028601885,1.9498520000000001,1,1,1,0.36797840148622984,0.9816417993132254,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-3.3807342000000005,4.9418597,0.010373294,1.5273058000000002,1,1,1,0.35432138183787815,0.7648118667299848,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
6.975863,-2.3723919999999996,1.9207759999999998,1.9287682000000002,0,1,1,0.3980386836700915,0.004025108629910946,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-2.78474,5.9674654,0.002960682,1.933629,1,1,1,0.37263294266054164,0.9734117204616284,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
5.416862,-5.324621,1.9268993000000003,0.005153358,0,0,0,0.4574229861429949,0.9689131823255613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
5.05689,-3.0029685,1.7888038,0.6205699,0,0,0,0.3431226703104474,0.589002869543084,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
-2.482541,5.7295833,0.023178099999999997,1.9514214,1,1,0,0.34961277697172505,0.9721890600454288,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1
-2.3422332000000003,5.4853177,0.008354723,1.9363846999999998,1,1,1,0.3332208991824236,0.9720815055497651,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.7195952,5.944422,0.0012153386999999999,1.9377693999999999,1,1,1,0.36887404982796795,0.9763792305390059,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.7130935000000003,5.99974,0.005095005,1.9587400000000001,1,1,1,0.3709547731014078,0.9849962420873253,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-3.7329884,4.02466,0.009093404,1.0622205,1,1,1,0.33024140752448095,0.5309676166558698,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
5.6102014,-5.8097142999999996,1.9724977,0.0009843111,0,0,0,0.4863401861018737,0.9940052382772885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
-2.1315022,5.117781,0.013456821,1.9794831000000002,1,1,1,0.3085730856105529,0.9912387136271348,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.3128126,5.4839177,0.009715915,1.9471470000000002,1,1,1,0.331907216258454,0.9768214137154028,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-2.0866263,5.2117453000000005,0.017069638,1.9856405,1,1,1,0.3106654067478764,0.9925216570567645,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-4.529712,4.065456,0.09570962,1.712748,1,1,1,0.3659394535394801,0.8152838589250387,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
1.8122996999999998,-0.92704743,1.0966926000000001,1.6611788,0,1,1,0.11634366751506689,0.2846016592586422,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
-3.0221598,2.8791742,0.39650297,1.3473442,1,1,0,0.2511187256558949,0.47939650275283996,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1
3.6552787,-1.7905616000000002,1.1805366000000002,0.40536940000000005,0,0,1,0.23170397397468984,0.39082409519328265,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1
-2.1933656000000004,2.8670099,0.26489592,0.5090505,1,1,1,0.21527410156625612,0.12309490267741482,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
-1.7577643,2.9338675,0.2768795,0.28594065,1,1,0,0.19955694154953407,0.004564058382818393,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
2.3636642000000005,-1.4785311,1.1793341999999998,1.4221778,0,1,1,0.16335095512984937,0.12243392475789876,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
-3.1033785,2.9316322999999995,0.20381069,1.6388639999999999,1,1,1,0.2568165034243648,0.7235295125951083,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
-1.9632631999999999,1.9251648999999997,0.1831519,0.19659649999999998,1,1,1,0.16532156050052035,0.006774133030260235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.14259715,0.31811538,0.31345898,0.12050313,1,0,1,0.01922020580483461,0.09728121365296573,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1
-6.6998205,6.1986574999999995,0.01735586,1.7909102,1,1,1,0.549361738100708,0.894197033505797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-4.896978400000001,4.119035,0.06066835,1.3007084999999998,1,1,1,0.3838773721916534,0.6252065841178761,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
5.1893400000000005,-5.870833999999999,1.7080707999999998,1.7808544999999998,0,1,1,0.47100672314755715,0.03669208361986836,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1
-4.720239,3.716964,0.12667012,1.6491153000000003,1,1,1,0.35920642682731796,0.7675912804445275,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
