Label,x,y,claim,perspective,opposite_auto
1,0,0,School Day Should Be Extended,Lessons would feel less broken.,Lessons would feel more broken.
0,0,0,School Day Should Be Extended,Not enough fundng..., enough fundng...
1,0,0,School Day Should Be Extended,So much easier for parents!,So little easier for parents!
1,0,0,School Day Should Be Extended,Less need for homework.,More need for homework.
1,0,0,Raise The School Leaving Age To 18,With more education comes more opportunities,With less education comes more opportunities
1,0,0,Raise The School Leaving Age To 18,More Education Brings More Opportunities,Less Education Brings More Opportunities
1,0,0,Raise The School Leaving Age To 18,The more education you have the more opportunities,The less education you have the more opportunities
1,0,0,Raise The School Leaving Age To 18,More education brings more opportunities,Less education brings more opportunities
1,0,0,Raise The School Leaving Age To 18,Opportunities are influenced by education,Opportunities are not influenced by education
1,0,0,Raise The School Leaving Age To 18,"The longer they are educated, the more opportunities they get","The longer they are not educated, the more opportunities they get"
0,0,0,Raise The School Leaving Age To 18,There are cases where leaving school early is necessary,There are not cases where leaving school early is necessary
0,0,0,Raise The School Leaving Age To 18,Forced education achieves little,Forced education achieves much 
0,0,0,Raise The School Leaving Age To 18,Little is accomplished when education is forced.,Much is accomplished when education is forced.
0,0,0,Raise The School Leaving Age To 18,Education that is forced does little.,Education that is not forced does little.
0,0,0,Raise The School Leaving Age To 18,Forced Education Achieves Little,Much 
0,0,0,Raise The School Leaving Age To 18,Not all skills are best learnt in a classroom environment., all skills are best learnt in a classroom environment.
0,0,0,Raise The School Leaving Age To 18,Some skills are better learned outside the classroom.,Some skills are not better learned outside the classroom.
0,0,0,Raise The School Leaving Age To 18,The classroom environment is not ideal for all lessons.,The classroom environment is ideal for all lessons.
1,0,0,Raise The School Leaving Age To 18,Raising the school-leaving age is a crucial investment in society's future,Raising the school-leaving age is not a crucial investment in society's future
1,0,0,Raise The School Leaving Age To 18,Raising the school-leaving age is a crucial investment in society’s future,Raising the school-leaving age is not a crucial investment in society’s future
1,0,0,Raise The School Leaving Age To 18,The economy of the future requires more education,The economy of the future requires less education
1,0,0,Raise The School Leaving Age To 18,"In the future, the economy will rely on those with more education.","In the future, the economy will rely on those with less education."
0,0,0,Raise The School Leaving Age To 18,Not everyone is good at studying, everyone is good at studying
0,0,0,Raise The School Leaving Age To 18,Some people are unable to handle the rigor of university-level coursework.,Some people are not unable to handle the rigor of university-level coursework.
0,0,0,Raise The School Leaving Age To 18,We shouldn't force people to study if they aren't good at it and choose not to.,We should force people to study if they aren't good at it and choose not to.
0,0,0,Raise The School Leaving Age To 18,not everyone is good academically, everyone is good academically
0,0,0,Raise The School Leaving Age To 18,some people are not good at studying,some people are good at studying
0,0,0,Make all museums free of charge,Funding for museums is wasteful,Funding for museums is not wasteful
0,0,0,Make all museums free of charge,We should not expect the state to fund museums,We should expect the state to fund museums
1,0,0,Make all museums free of charge,Museums are a crucial source of inspiration and education,Museums are not a crucial source of inspiration and education
1,0,0,Make all museums free of charge,Museums are a necessary part of a society's understanding of culture and edification.,Museums are not a necessary part of a society's understanding of culture and edification.
1,0,0,Make all museums free of charge,Museums are critical to the motivations as well as the education of a society as a whole. ,Museums are not critical to the motivations as well as the education of a society as a whole.
1,0,0,Make all museums free of charge,Museum charges can be offset by government funding,Museum charges can't be offset by government funding
1,0,0,Make all museums free of charge,People are more likely to attend museums if they are free. ,People are not more likely to attend museums if they are free.
0,0,0,Make all museums free of charge,"If state-funded, there is little incentive to increase numbers of visitors","If state-funded, there is not little incentive to increase numbers of visitors"
1,0,0,Chess must be at the Olympics,"Chess is currently not an Olympic sport, but it should be.","Chess is currently an Olympic sport, but it should be."
0,0,0,Chess must be at the Olympics,Opening up the Olympics for borderline sports is bad in itself,Opening up the Olympics for borderline sports is not bad in itself
0,0,0,Chess must be at the Olympics,Olympic sports are suppose to be physical,Olympic sports are not suppose to be physical
1,0,0,Chess must be at the Olympics,Chess is highly popular and should be represented,Chess is not highly popular and should be represented
1,0,0,Chess must be at the Olympics,Chess is popular worldwide and should be an Olympic sport.,Chess is not popular worldwide and should be an Olympic sport.
1,0,0,Chess must be at the Olympics,Chess is one of the popular sport that should be represented at the Olympic.,Chess is not one of the popular sport that should be represented at the Olympic.
0,0,0,Chess must be at the Olympics,Chess cannot ensure fair play,Chess can ensure fair play
1,0,0,Chess must be at the Olympics,Mind sports are some of the world's oldest and most contested competitive sports.,Mind sports are not some of the world's oldest and most contested competitive sports.
1,0,0,Chess must be at the Olympics,Mind sports have been around for centuries and are competitive.,Mind sports have been around for centuries and are not competitive.
1,0,0,Chess must be at the Olympics,Mind sports is the oldest and most highly competitive sports.,Mind sports is not the oldest and most highly competitive sports.
1,0,0,Federal States are better than unitary nations,Federal states are better able to protect their citizens.,Federal states are not better able to protect their citizens.
1,0,0,Federal States are better than unitary nations,Citizens are better protected in federal states.,Citizens are not better protected in federal states.
1,0,0,Federal States are better than unitary nations,Federal United States are better off economically.,Federal United States are not better off economically.
0,0,0,Federal States are better than unitary nations,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.","Federal governments often extend their powers and usurp local authority, especially if one or less federal units are disproportionately powerful."
1,0,0,Federal States are better than unitary nations,Federal states are economically stronger,Federal states are not economically stronger
1,0,0,The Catholic Church needs reform,It currently promotes loyalty to the institution not the laity,It currently promotes loyalty to the institution the laity
1,0,0,The Catholic Church needs reform,"Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.","Currently the Catholic Chuch focuses on loyalty to the church itself, those they serve."
1,0,0,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.","The Catholic Church wants loyalty to institution, to the common man."
1,0,0,The Catholic Church needs reform,"Clerical rape of children is, in part, due to the celibacy of priests and must change","Clerical rape of children is not , in part, due to the celibacy of priests and must change"
1,0,0,The Catholic Church needs reform,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.","If priests were forced to be celibate, the issue of child rate would not be as widespread."
1,0,0,The Catholic Church needs reform,One of the reasons clerical child rape has happened is due to priests being forced to remain celibate.,One of the reasons clerical child rape has happened is not due to priests being forced to remain celibate.
1,0,0,The Catholic Church needs reform,Too much responsibility on the Pope,Too little responsibility on the Pope
0,0,0,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination towards women should not be allowed,Positive discrimination towards women should be allowed
0,0,0,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","It is Men, Women, who are Disadvantaged in our Society"
0,0,0,Positive Discrimination Towards Women in Society Is Justified,It does not address the underlying issues,It does address the underlying issues
1,0,0,Positive Discrimination Towards Women in Society Is Justified,It is right to treated women differently than men in some cases. ,It is not right to treated women differently than men in some cases.
