,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
46,-2.2672276,5.343608000000001,0.012837887,1.8996876,1,1,0,0,Make all museums free of charge,State funding should be used elsewhere,State funding should not be used elsewhere
51,5.155417400000001,-4.2374339999999995,1.8684081999999997,0.7444159,0,0,1,1,Make all museums free of charge,Museums are critical to the motivations as well as the education of a society as a whole. ,Museums are not critical to the motivations as well as the education of a society as a whole.
54,3.5372443,-2.1574588,1.6882112,0.7913991,0,0,1,1,Make all museums free of charge,People are more likely to attend museums if they are free. ,People are not more likely to attend museums if they are free.
63,-2.482541,5.7295833,0.023178099999999997,1.9514214,1,1,0,0,Chess must be at the Olympics,Olympic sports are suppose to be physical,Olympic sports are not suppose to be physical
74,-3.0221598,2.8791742,0.39650297,1.3473442,1,1,0,0,Federal States are better than unitary nations,Federal States often have persistent losers.,Federal States often don't have persistent losers.
75,3.6552787,-1.7905616000000002,1.1805366000000002,0.40536940000000005,0,0,1,1,Federal States are better than unitary nations,Being a federal state helps large states deal with divergent economic performance,Being a federal state spoil large states deal with divergent economic performance
77,-1.7577643,2.9338675,0.2768795,0.28594065,1,1,0,0,Federal States are better than unitary nations,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.","Federal governments often extend their powers and usurp local authority, especially if one or less federal units are disproportionately powerful."
125,5.402311,-3.4830809,1.9094491000000002,0.6434671,0,0,1,1, College education is worth it,More and more jobs require college degrees.,Less and more jobs require college degrees.
130,-2.6791150000000004,5.8646044999999996,0.014618873999999999,1.9779723000000002,1,1,0,0, College education is worth it,A bachelor's degree is considered standard now.,A bachelor's degree is not considered standard now.
156,-2.5723376,5.3829837,0.08846670400000001,1.9239178,1,1,0,0, College education is worth it,Learning a trade profession is a better option than college for many young adults.,Learning a trade profession is not a better option than college for many young adults.
157,-2.3122168,5.1455736,0.04463637,1.9589880000000002,1,1,0,0, College education is worth it,Young adults should consider learning a trade instead of going to college.,Young adults should not consider learning a trade instead of going to college.
199,-2.6695065,5.1506443,0.06529188,1.5585053,1,1,0,0,College football should replace the bowl championship series (BCS),The BCS rankings are designed to favor consistency over the course of the entire season.,The BCS rankings are not designed to favor consistency over the course of the entire season.
201,2.9371443,-3.2660115000000003,1.6041673,1.1704268,0,0,1,1,All drugs should be decriminalised,"In addition to our first argument: There is no legal bar on the purchase of alcoholic drink and cigarettes, though both are often addictive ","In addition not to our first argument: There is no legal bar on the purchase of alcoholic drink and cigarettes, though both are often addictive"
207,4.8458442999999995,-5.638386,1.7949092,0.06454456,0,0,1,1,Pensions should be privatised,Government pension schemes are not a viable or sustainable option.,Government pension schemes are a viable or sustainable option.
210,3.0302238,-2.656148,1.5651110000000001,1.1715775,0,0,1,1,Pensions should be privatised,Private Business is more inclined towards future planning and sustainability.,Private Business is not more inclined towards future planning and sustainability.
211,3.5233757000000003,-4.23422,1.6598136000000003,0.15499061,0,0,1,1,Pensions should be privatised,State involvement in pensions is deleterious to both pensioners and the state.,State involvement in pensions is not deleterious to both pensioners and the state.
212,2.5015223,-1.4922346000000002,1.3591511,0.34046316,0,0,1,1,Pensions should be privatised,Government is fundamentally unsuited to running pension schemes.,Government is not fundamentally unsuited to running pension schemes.
214,4.4439144,-4.075814,1.8802419999999997,0.41402954,0,0,1,1,You have nothing to worry about surveillance if you have done nothing wrong,No one will ever actually look at the information,No one will not ever actually look at the information
221,-2.1631105,5.3561735,0.01586628,1.9617461999999999,1,1,0,0,You have nothing to worry about surveillance if you have done nothing wrong,Power trips can be had by agencies.,Power trips can not be had by agencies.
256,-2.6284535,6.184872599999999,0.052417994,1.9610815,1,1,0,0,We must support the use of truth and reconciliation commissions,Reconciliation can be used to conceal political corruption and patrimony,Reconciliation can not be used to conceal political corruption and patrimony
257,-2.738274,6.1733727,0.039147615,1.9139076000000002,1,1,0,0,We must support the use of truth and reconciliation commissions,reconciliation can be used for political corruption,reconciliation can not be used for political corruption
258,-2.793708,6.345839499999999,0.021082819,1.9113324,1,1,0,0,We must support the use of truth and reconciliation commissions,reconciliation can help to conceal corruption,reconciliation can not help to conceal corruption
283,-3.3776984,7.012015299999999,0.0044521093,1.7950990000000002,1,1,0,0,There is a good case for stating that there is a God,God is a concept dreamed up by optimistic people.,God is not a concept dreamed up by optimistic people.
291,1.7193075,-1.3619906000000002,0.5853264,0.28777683,0,0,1,1,Animal testing should be banned.,"People can suffer, but most animals can suffer more. ","People can not suffer, but most animals can suffer more."
295,-6.615327000000001,6.107059,0.01390934,1.8412108,1,1,0,0,Animal testing should be banned.,"Animals do not have rights, therefore it is acceptable to experiment on them.","Animals do have rights, therefore it is acceptable to experiment on them."
296,-6.795091,6.53788,0.0053322315,1.8086041000000002,1,1,0,0,Animal testing should be banned.,Animals don’t have human rights,Animals do have human rights
297,-2.5863214,2.2010865,0.21427578,1.7105238,1,1,0,0,Animal testing should be banned.,Animals don't have rights.,Animals do have rights.
299,7.1052337,-4.3399944,1.7252104,0.9351889999999999,0,0,1,1,Animal testing should be banned.,Animals shouldn't be put through harmful situations.,Animals should be put through harmful situations.
302,5.6154165,-3.5951781000000005,1.6715436999999997,1.590452,0,0,1,1,Animal testing should be banned.,Animals shouldn’t be harmed,Animals should not n’t be harmed
312,-2.2768203999999996,1.3677190000000001,0.11711788,0.5971699,1,1,0,0,Animal testing should be banned.,There are no satisfactory alternatives to animal research,There are not no satisfactory alternatives to animal research
318,7.224897,-5.9524726999999995,1.7088901,0.38646936,0,0,1,1,Animal testing should be banned.,Alternative testing methods now exist that can replace the need for animals. ,Alternative testing methods now exist that can not replace the need for animals.
323,6.2157264,-4.2299237000000005,1.5328015,0.010647297,0,0,1,1,Animal testing should be banned.,"Religious traditions tell us to be merciful to animals, so we should not cause them suffering by experimenting on them.","Religious traditions tell us to be merciful to animals, so we should cause them suffering by experimenting on them."
352,-4.3897699999999995,3.2474107999999995,0.019004285,0.050682545,1,1,0,0,Instant Replay Should Be Used in Major League Baseball,Why even have an umpire if every play can be instantly replayed?,Why even don't have an umpire if every play can be instantly replayed?
362,4.4616427000000005,-3.4135225,1.7867283999999999,0.36591983,0,0,1,1,Antarctica Should Be Opened Up For Resource Exploitation,Antartic resource exploitation is unevitable: Let's do it orderly!,Antartic resource exploitation is not unevitable: Let's do it orderly!
364,-0.084271155,-0.32560956,0.39493442,0.025310934,0,0,1,1,Antarctica Should Be Opened Up For Resource Exploitation,"Eventually Antarctica will be be exploited for its resources, but will we be prepared to do it carefully?","Eventually Antarctica will not be be exploited for its resources, but will we be prepared to do it carefully?"
383,0.071659915,-0.14091642,0.30348259999999994,0.025320232,0,0,1,1,Attorney-client privilege should be abolished,Attorney client privilege need not be sacrosanct in all situations,Attorney client privilege need be sacrosanct in all situations
393,-1.1184312,4.2534738,0.07091135,1.833507,1,1,0,0,Sanctions should be used to promote democracy,Sanctions do not harm the right people.,Sanctions do harm the right people.
417,-2.9965634,4.8128996,0.05750376,1.6150558000000002,1,1,0,0,Transparency is necessary for security,Transparency can result in normalisation,Transparency can not result in normalisation
421,1.4928055,1.9444929,0.85338044,1.9172924999999998,1,1,0,0,Animals should be kept in zoos,Animals should be left in the wild,Animals should not be left in the wild
432,-4.245325,3.9834285000000005,0.0046860576,1.0540370000000001,1,1,0,0,Europe should be federal,Existing contributive inequalities within the Union would be amplified by a formal federal system,Existing contributive inequalities within the Union would not be amplified by a formal federal system
438,3.0568,-3.4333055,1.766252,1.1432271,0,0,1,1,Europe should be federal,"If Europe went federal, they would have a larger international impact","If Europe went federal, they would not have a larger international impact"
441,5.9544096,-3.4757540000000002,1.4014778,0.12352097,0,0,1,1,Paparazzi and press intrude too much into celebrities lives,"A celebrities job is to entertain, when did watching a real life marriage fall apart or a real life person in depression become entertaining?","A celebrities job is not to entertain, when did watching a real life marriage fall apart or a real life person in depression become entertaining?"
443,7.2846694,-5.3875684999999995,1.7139816000000003,1.2007508,0,0,1,1,Paparazzi and press intrude too much into celebrities lives,Everyone deserves a right to privacy, noone deserves a right to privacy
450,3.5792602999999996,-3.4045803999999995,1.6190503,0.016375244,0,0,1,1,Parents should have the right to do background checks on those looking after their children,"Children should not be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries.","Children should be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries."
451,3.4273116999999997,-3.1563091,1.607312,0.086452544,0,0,1,1,Parents should have the right to do background checks on those looking after their children,"Children should not be exposed to inappropriate topics like sex, violence, or drug use in school or public libraries.","Children should be exposed to inappropriate topics like sex, violence, or drug use in school or public libraries."
452,3.9626410000000005,-3.7255082,1.6856167000000002,0.038455367000000004,0,0,1,1,Parents should have the right to do background checks on those looking after their children,"School and public libraries should not expose children to sex, violence, drug use, or other inappropriate topics. ","School and public libraries should expose children to sex, violence, drug use, or other inappropriate topics."
453,-2.9150593,5.810381400000001,0.008967102,1.8626695,1,1,0,0,Privacy Online is Important,The internet is a public space.,The internet is not a public space.
454,-0.5112193,3.8550823,0.5476222,1.4403285,1,1,0,0,Privacy Online is Important,Only Criminals benefit from internet Privacy,Only Criminals harm from internet Privacy
456,-2.2471116,5.4560294,0.104075134,1.945805,1,1,0,0,Privacy Online is Important,Only wrong-doers benefit from internet privacy.,Only wrong-doers harm from internet privacy.
