,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
59,6.975863,-2.3723919999999996,1.9207759999999998,1.9287682000000002,0,1,1,1,Chess must be at the Olympics,"Chess is currently not an Olympic sport, but it should be.","Chess is currently an Olympic sport, but it should be."
73,1.8122996999999998,-0.92704743,1.0966926000000001,1.6611788,0,1,1,1,Federal States are better than unitary nations,Citizens are better protected in federal states.,Citizens are not better protected in federal states.
78,2.3636642000000005,-1.4785311,1.1793341999999998,1.4221778,0,1,1,1,Federal States are better than unitary nations,Federal states are economically stronger,Federal states are not economically stronger
84,5.1893400000000005,-5.870833999999999,1.7080707999999998,1.7808544999999998,0,1,1,1,The Catholic Church needs reform,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.","If priests were forced to be celibate, the issue of child rate would not be as widespread."
110,-2.28303,2.3072689,0.42603797,0.20001078,1,0,0,0, College education is worth it,Many college graduates are employed in jobs that do not require college degrees.,Many college graduates are employed in jobs that do require college degrees.
139,1.6770337,1.4355392,1.2011003,1.6276030000000001,0,1,1,1, College education is worth it,College graduates make more money.,College graduates make less money.
200,2.5856388,0.0032938984,0.59319067,1.1707501,0,1,1,1,College football should replace the bowl championship series (BCS),"A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.","A playoff system would mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible."
209,1.6175061000000002,0.9194578000000001,0.9487099,1.8444197,0,1,1,1,Pensions should be privatised,Private Enterprise is more suited to long-term planning and sustainability,Private Enterprise is not more suited to long-term planning and sustainability
278,-4.549434,3.3134785000000004,0.012587547,0.011852145,1,0,0,0,There is a good case for stating that there is a God,"If there is a god, its the sun.","If there is not a god, its the sun."
289,3.1684308,-1.2677199,1.3334923,1.5147538,0,1,1,1,Animal testing should be banned.,"While both people and animals both suffer, most animals suffer more than people do.","While both people and animals both suffer, most animals suffer less than people do."
