,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
0,-4.223587,3.430138,0.020014465,0.012878656,1,0,1,1,School Day Should Be Extended,Lessons would feel less broken.,Lessons would not feel less broken.
3,-1.6599853999999998,2.5632455000000003,0.27741253,0.15797633,1,0,1,1,School Day Should Be Extended,Less need for homework.,More need for homework.
81,-0.14259715,0.31811538,0.31345898,0.12050313,1,0,1,1,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.","The Catholic Church wants loyalty to institution, to the common man."
88,4.9766994,-0.7667258000000001,1.3191316000000002,1.7891183000000002,0,1,0,0,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","It is Men, Women, who are Disadvantaged in our Society"
101,6.6647644,-2.3380047999999998,1.9578102,1.9627199,0,1,0,0,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination takes away voters' freedom of choice by limiting their choices to women, negative discrimination takes away voters' freedom of choice by limiting their choices to women
102,-2.499869,2.0185299999999997,0.45105845,0.013398945,1,0,1,1,Positive Discrimination Towards Women in Society Is Justified,Women are vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament. ,Women are not vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament.
103,-3.912886,3.5814877,0.21423429,0.18993616,1,0,1,1,Positive Discrimination Towards Women in Society Is Justified,"Until as recently as 20 years ago, no more than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic","Until as recently as 20 years ago, no less than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic"
109,3.4377102999999996,-1.7020648999999997,1.0917683999999999,1.1698959,0,1,0,0, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
127,-1.6092399,1.0260099,0.6004571999999999,0.102158844,1,0,1,1, College education is worth it,More jobs only hire those with college degrees.,Less jobs only hire those with college degrees.
167,6.4989667,-1.8290417,1.8949202,1.9682518,0,1,0,0, College education is worth it,The total cost of going to college also includes the cost of missing opportunities to make money at a job.,The total cost of going not to college also includes the cost of missing opportunities to make money at a job.
174,-3.9840313999999997,4.0418324,0.06030357,0.051696062,1,0,1,1,Socialism is Dead,Socialism was a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better,Socialism was not a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better
175,-3.7459807,4.0530787,0.06601095,0.031380832000000004,1,0,1,1,Socialism is Dead,Capitalism replaced Socialism because it's the better system.,Capitalism replaced Socialism because it's the worse system.
181,-3.5966058,3.6805382000000004,0.09430176,0.031254828,1,0,1,1,Socialism is Dead,Socialism is no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.,Socialism is not no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.
190,-4.508074,3.2939377,0.00674212,0.005174458,1,0,1,1,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,Governments in countries where terrorism is prevalent should allocate tax dollars to a pool to compensate nations that have been victims.,Governments in countries where terrorism is not prevalent should allocate tax dollars to a pool to compensate nations that have been victims.
204,-4.915796299999999,4.184451999999999,0.051813543,0.011907756,1,0,1,1,All drugs should be decriminalised, Decriminilisation of drugs will diminish organised crime , Decriminilisation of drugs will not diminish organised crime
215,4.633711,-1.274824,1.6943831000000003,1.7049928,0,1,0,0,You have nothing to worry about surveillance if you have done nothing wrong,Lack of trust, glut of trust
233,-3.7806091,4.2755165,0.038880587,0.034329295,1,0,1,1,The use of animals as objects of sport and entertainment should be banned.,When animals are treated as property it prevents them from being perceieved as part of the moral community. ,When animals are not treated as property it prevents them from being perceieved as part of the moral community.
253,3.264475,-3.1446035,0.97437984,1.0522799999999999,0,1,0,0,"In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.",It would create instability and logistical problems,It would not create instability and logistical problems
255,-4.290851,3.264986,0.008956432,0.0038850307,1,0,1,1,We must support the use of truth and reconciliation commissions,reconciliation helps with justice,reconciliation spoil with justice
259,-3.296128,2.4268856,0.16278595,0.0030496715999999997,1,0,1,1,We must support the use of truth and reconciliation commissions,Truth and reconciliation are more important than retribution following violent and long term conflicts,Truth and reconciliation are not more important than retribution following violent and long term conflicts
285,4.39497,-1.1740786,1.6006353000000002,1.8137269,0,1,0,0,The law on self defence should cover ‘grossly disproportionate’ actions,There is already enough leeway in the law of self defence.,There is not already enough leeway in the law of self defence.
351,4.4300914,-0.4765882000000001,1.6123035,1.8886453999999997,0,1,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay will take the human element out of baseball,Instant replay will not take the human element out of baseball
353,-3.9412644,2.78061,0.11564934,0.0028754473,1,0,1,1,Instant Replay Should Be Used in Major League Baseball,"It’s not possible to get every call right, so instant replay is a necessary supplement to umpires’ skill","It’s possible to get every call right, so instant replay is a necessary supplement to umpires’ skill"
358,6.8322066999999995,-2.1433072,1.9225235,1.9491317,0,1,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay drags ut calls most umpires can make already.,Instant replay drags ut calls most umpires can not make already.
365,-4.115883,2.9061227,0.0063090324,0.003038168,1,0,1,1,Antarctica Should Be Opened Up For Resource Exploitation,"No possible over abuse on the resources, just a utilitarian, global benefit","No possible over abuse on the resources, just a utilitarian, global harm "
376,5.943331,-1.9855123,1.8715211999999999,1.9476402,0,1,0,0,It is fine to kill one to save many,"Intuitively, it is possible to understand that participating in a decision to kill is a priori wrong","Intuitively, it is not possible to understand that participating in a decision to kill is a priori wrong"
377,5.977237000000001,-1.3344203000000001,1.8256974,1.8923671000000002,0,1,0,0,It is fine to kill one to save many,"Intiution explains the reason why the decision to kill is viewed as wrong ,as a general principle.","Intiution explains the reason why the decision not to kill is viewed as wrong ,as a general principle."
410,-4.311532,3.2138019,0.007681250600000001,0.0021399856,1,0,1,1,Transparency is necessary for security,Transparency would make mistakes easier to prevent or identify.,Transparency would not make mistakes easier to prevent or identify.
425,6.0221849999999995,-2.3767433,1.8890433,1.962718,0,1,0,0,Student loan debt should be easier to discharge in bankruptcy,Student loan discharge would incite colleges to raise tuition,Student loan discharge would not incite colleges to raise tuition
449,2.9126797000000004,0.5084558,1.4030011,1.8832967,0,1,0,0,Parents should have the right to do background checks on those looking after their children,Vigilante attacks can possible happen because of that.,Vigilante attacks can not possible happen because of that.
