undermine_score,support_score,predict_label,gold
0.94584405,-0.95636576,0,0
1.1967653,-1.2007976,0,0
2.3183968,-2.325764,0,0
1.0085311,-1.0901926,0,0
-2.617875,2.0002232,1,0
-0.36883628,0.2604246,1,0
2.082553,-2.1334777,0,0
-3.5364761,3.5138793,1,0
1.6129509,-1.6957877,0,0
-1.3102355,1.0101911,1,0
-1.3976166,0.98210293,1,0
-1.2484953,0.840698,1,0
-1.6898711,1.2834797,1,0
-0.5313417,0.36782444,1,0
-1.5004127,1.2863134,1,0
2.2506158,-2.2841501,0,0
2.2335057,-2.1277673,0,0
2.8296971,-2.8657107,0,0
3.104909,-3.305007,0,0
2.910956,-3.0959072,0,0
1.3770597,-1.648626,0,0
-0.5335582,0.3090822,1,0
1.0809871,-1.3080027,0,0
-0.11017934,-0.28080037,0,0
-1.1578617,0.7547489,1,0
0.0040142103,-0.11061829,0,0
-1.9610481,1.533711,1,0
2.603095,-2.634456,0,0
1.0261178,-1.4817133,0,0
1.1174246,-1.2472773,0,0
2.1794536,-2.2422643,0,0
-2.2098594,1.6596823,1,0
-3.6242151,3.636642,1,0
-1.6455221,1.2495701,1,0
-2.6648674,2.1576962,1,0
1.7394303,-1.6429701,0,0
-0.5137397,0.30914432,1,0
0.12789102,-0.16413914,0,0
0.083530135,-0.16951443,0,0
0.7626247,-0.7692585,0,0
-0.1796246,-0.033978704,1,0
-3.190602,2.786366,1,0
0.31437382,-0.46892363,0,0
0.35114163,-0.28478083,0,0
1.3068787,-1.2626612,0,0
-2.500992,2.060772,1,0
-0.41458642,0.33120096,1,0
0.20939027,-0.21080261,0,0
1.5726101,-1.5932045,0,0
1.16852,-1.2146376,0,0
-1.1562579,0.8690825,1,0
1.7453072,-1.9561235,0,0
-1.4375718,1.1003036,1,0
-0.41747096,0.37128207,1,0
1.5230768,-1.5743892,0,0
-0.81439656,0.5040125,1,0
-2.7246637,2.40539,1,0
1.8385954,-1.953455,0,0
2.2447162,-2.389223,0,0
1.4532595,-1.4216431,0,0
1.1944723,-1.2262945,0,0
-1.839246,1.5363609,1,0
-0.014262563,-0.28645465,0,0
-1.3339401,1.11607,1,0
2.1297317,-2.2701173,0,0
2.6286583,-2.7789164,0,0
1.569998,-1.7101526,0,0
-1.0496916,0.8776489,1,0
-0.45559886,0.33884856,1,0
-1.3942338,1.1021488,1,0
0.98581225,-1.1090593,0,0
2.2028544,-2.2837226,0,0
1.933397,-2.1245813,0,0
-2.0215578,1.892215,1,0
-3.3724213,3.1209712,1,0
1.1223395,-1.1985729,0,0
0.8102824,-0.95454544,0,0
0.97308165,-1.2754072,0,0
1.4705849,-1.7308474,0,0
-0.4229095,-0.043682475,1,0
0.22984494,-0.5552357,0,0
2.6520195,-2.572733,0,0
0.77954084,-0.9229719,0,0
2.16546,-2.2764974,0,0
-3.3047862,2.904311,1,0
-0.9401095,0.58812267,1,0
0.5022771,-0.7814539,0,0
1.8482788,-2.1938407,0,0
2.4608657,-2.7843173,0,0
1.9262888,-2.1350884,0,0
-2.9600205,2.597316,1,0
-0.2643325,0.110697635,1,0
1.0909543,-1.1710892,0,0
-0.3772531,0.14173782,1,0
1.7602851,-1.9723048,0,0
-1.7176573,1.1330078,1,0
-3.192191,2.833804,1,0
0.39619395,-0.63846135,0,0
-1.6836685,1.2439723,1,0
-2.6964567,2.1449008,1,0
