undermine_score,support_score,predict_label,gold
-1.4139686,0.9970775,1,0
-3.311615,2.915638,1,0
-2.6137555,2.0841537,1,0
-2.2507281,1.6497285,1,0
1.6566534,-1.9311049,0,0
2.2357273,-2.2304907,0,0
2.1276011,-2.1531,0,0
2.0834131,-2.2399368,0,0
-3.0872283,2.5701556,1,0
-0.056776844,-0.080109395,0,0
-0.4982796,0.055896472,1,0
1.691213,-1.708705,0,0
-1.8279762,1.3189969,1,0
0.96431357,-1.0974017,0,0
-0.13793246,0.028420504,1,0
-0.577304,0.4229772,1,0
1.4485507,-1.5533127,0,0
-1.1464177,1.1179694,1,0
-2.1584096,1.6730635,1,0
0.011056686,-0.09627034,0,0
0.04499407,-0.117649786,0,0
1.343617,-1.4767151,0,0
0.46399266,-0.51726776,0,0
0.3956671,-0.47163457,0,0
0.057333358,-0.12606968,0,0
1.4772465,-1.58156,0,0
-1.5380914,1.3051573,1,0
-0.3611703,0.18491066,1,0
0.52891546,-0.60204846,0,0
2.5607479,-2.8239903,0,0
1.1607383,-1.3521922,0,0
-0.06660641,-0.091718644,0,0
-0.51426625,0.27092808,1,0
-0.08015973,-0.17181629,0,0
0.18666093,-0.35719875,0,0
0.92265886,-1.0006757,0,0
3.0963998,-3.0950046,0,0
2.0107436,-2.0181277,0,0
-1.0734854,0.71749544,1,0
-0.98831874,0.3629683,1,0
-0.2776025,-0.08765751,1,0
-1.5733495,1.0997009,1,0
-1.5254018,1.2144377,1,0
-0.3127262,0.11640273,1,0
-1.4521825,0.8343432,1,0
0.8129062,-1.228408,0,0
-0.47049952,0.3802002,1,0
2.9946775,-3.0583472,0,0
0.28465033,-0.32940927,0,0
-0.16065498,0.06515674,1,0
0.79301125,-0.9584416,0,0
2.2910259,-2.3880467,0,0
-1.624641,1.3467864,1,0
1.6167526,-1.7141055,0,0
2.5074115,-2.6086504,0,0
-0.75748324,0.5250719,1,0
-1.3282012,0.94822603,1,0
-1.7108712,1.2410779,1,0
-1.1482799,0.6854086,1,0
-1.8624263,1.4109527,1,0
0.41158852,-0.7639323,0,0
-1.4243222,0.89756143,1,0
0.569724,-0.8487349,0,0
-1.7035215,1.1908221,1,0
-0.87976974,0.57493013,1,0
1.3048358,-1.6483219,0,0
-1.0626762,0.8191788,1,0
-2.6377034,2.1478486,1,0
-2.0443964,1.5980883,1,0
-2.0118148,1.572647,1,0
-1.6494042,1.2770642,1,0
-1.0437062,0.7291289,1,0
0.1982524,-0.35513678,0,0
0.72160584,-0.79856795,0,0
2.0346048,-2.1037493,0,0
-2.1307876,1.7799468,1,0
0.19508779,-0.3714784,0,0
0.1825218,-0.3012904,0,0
-1.5689099,1.2959517,1,0
0.32051596,-0.6550866,0,0
3.3733985,-3.602406,0,0
2.5775423,-2.623032,0,0
3.127533,-3.2762694,0,0
-3.3090665,2.9467657,1,0
0.011925662,-0.28837785,0,0
-0.7796475,0.37416238,1,0
1.2871559,-1.3128754,0,0
-1.5456448,1.5217357,1,0
2.8008537,-2.9397488,0,0
0.24038416,-0.74275404,0,0
-0.30155796,0.025363307,1,0
1.2841692,-1.3714654,0,0
-2.0744786,1.579258,1,0
-0.77447516,0.4748179,1,0
2.3445315,-2.3641224,0,0
