undermine_score,support_score,predict_label,gold
-1.6200198,1.5168836,1,0
-2.5600123,2.061626,1,0
2.436618,-2.6127214,0,0
-3.1576989,2.7817876,1,0
-0.9316153,0.5557121,1,0
-3.2707746,2.9905617,1,0
1.4437116,-1.4423149,0,0
-2.9647264,2.4786568,1,0
-2.7561536,2.2130892,1,0
2.1105108,-2.193453,0,0
2.1070704,-2.1734295,0,0
0.7806285,-0.8622903,0,0
2.1079235,-2.19059,0,0
-0.33921236,0.001521897,1,0
-1.4429965,1.0558693,1,0
-2.9861617,2.4726205,1,0
2.0884936,-2.1394658,0,0
-3.4641528,3.0434833,1,0
1.4470344,-1.5756743,0,0
1.2310733,-1.4781651,0,0
2.053401,-2.089023,0,0
-0.22987361,-0.059698377,1,0
2.2815042,-2.3968778,0,0
-1.6811779,1.2660428,1,0
-2.6718168,2.286625,1,0
-1.277463,0.9589853,1,0
-0.48892167,0.29500622,1,0
-3.69731,3.33166,1,0
-3.6470723,3.3098946,1,0
0.6614912,-0.90553844,0,0
1.308204,-1.4342606,0,0
-2.4044914,2.1106765,1,0
-3.0223994,2.6013095,1,0
-3.4253364,3.112519,1,0
-2.8014379,2.331794,1,0
2.1853523,-2.2833025,0,0
-0.09843936,-0.23555851,0,0
-0.7177394,0.45808974,1,0
-1.1904558,0.8308907,1,0
-0.93493605,0.5476055,1,0
0.79787743,-0.87982017,0,0
1.056431,-1.2081491,0,0
-3.7753568,3.4122915,1,0
-3.6655397,3.2729638,1,0
-3.694509,3.4998155,1,0
-2.6628866,2.7440825,1,0
2.598466,-2.6804092,0,0
-1.3247161,0.9103076,1,0
0.19123907,-0.20786187,0,0
-0.43040496,0.22353439,1,0
1.1046262,-1.3536407,0,0
0.6634347,-0.8591095,0,0
-1.5644475,1.2498279,1,0
2.1120906,-2.2153485,0,0
1.973192,-2.0360339,0,0
-2.2051048,1.6695493,1,0
-2.3693113,1.9073601,1,0
1.6856611,-1.7014766,0,0
-1.4186165,1.3935747,1,0
-0.72982866,0.3321966,1,0
-1.8399967,1.565881,1,0
1.2483308,-1.3971436,0,0
-1.6647286,1.2439108,1,0
-3.3990688,2.923342,1,0
-2.8314514,2.3444629,1,0
-1.9997333,1.4726498,1,0
-1.9400277,1.4339578,1,0
-1.9687407,1.4947848,1,0
-1.8649498,1.6216347,1,0
-3.2420003,2.845062,1,0
3.0238962,-3.1006591,0,0
-1.3018361,0.968332,1,0
1.3225815,-1.4786763,0,0
1.6412657,-1.8021972,0,0
-2.745525,2.3684657,1,0
-2.0277758,1.4990644,1,0
1.9839606,-2.2731352,0,0
0.03169641,-0.17283885,0,0
-2.0808187,1.5672731,1,0
1.2808955,-1.4526324,0,0
-2.1323164,1.7696644,1,0
-2.9635625,2.7189755,1,0
-3.5311303,3.2411704,1,0
-3.2001743,2.812623,1,0
-1.6792121,1.2607608,1,0
0.9309328,-1.1831322,0,0
-1.0942538,0.97073084,1,0
2.2798214,-2.3445432,0,0
-3.6799889,3.3282797,1,0
-3.0076232,2.513762,1,0
1.078586,-1.042319,0,0
2.1583133,-2.1553905,0,0
2.4860883,-2.6062145,0,0
2.382432,-2.4378395,0,0
-0.94528204,0.8113287,1,0
-0.25864553,0.27081954,1,0
-1.3498402,1.1798303,1,0
-0.7407474,0.6085198,1,0
0.111575566,-0.1510701,0,0
-0.690031,0.40124807,1,0
0.56477696,-0.5473843,0,0
-0.55854994,0.572481,1,0
-0.4717808,0.47379923,1,0
-0.46347713,0.30496773,1,0
-0.36365008,0.3163528,1,0
-0.96761286,0.8313694,1,0
-1.2988338,1.1363149,1,0
-1.0535746,0.54650885,1,0
-0.34541026,0.24086608,1,0
0.36878043,-0.64069426,0,0
