,claims,perpectives,opposite,undermine_origin,support_origin,predict_origin,gold_origin,undermine_opposite,support_opposite,predict_opposite,gold_opposite,oppose_sum,support_sum,final_label
0,School Day Should Be Extended,Not enough funding…,Enough funding…,-0.9363995999999999,1.0870366,1,0,-3.311615,2.915638,1.0,0.0,1.9792384,-2.2245784000000004,0
1,Raise The School Leaving Age To 18,Little is accomplished when education is forced.,Big is accomplished when education is forced. ,-1.8032172,2.4115667,1,0,-2.6137555,2.0841537,1.0,0.0,0.2809364999999999,-0.20218880000000006,0
2,Raise The School Leaving Age To 18,Forced Education Achieves Little,Forced education achieves big,-0.7703380999999999,0.9162488000000001,1,0,-2.2507281000000003,1.6497285,1.0,0.0,0.8793904,-1.3344793000000004,0
3,Raise The School Leaving Age To 18,Not all skills are best learnt in a classroom environment.,All skills are best learnt in a classroom environment. ,-1.5698819,2.049508,1,0,1.6566534,-1.9311049,0.0,0.0,-3.5009867999999997,3.7061614,1
4,Raise The School Leaving Age To 18,Some skills are better learned outside the classroom.,None skills are worse learned inside the classroom. ,-0.91301185,1.1318482,1,0,2.2357272999999998,-2.2304907000000003,0.0,0.0,-3.14350255,3.3675755,1
5,Raise The School Leaving Age To 18,Young people should have the choice to decide for themselves,Young people should not have the choice to decide for themselves,-1.5782008,2.0711522,1,0,2.1276011,-2.1531,0.0,0.0,-3.7313007999999996,4.1987533,1
6,Raise The School Leaving Age To 18,Young people should have the freedom to make their own choices.,Young people should not have the restraint to destroy their own choices. ,-1.9647689,2.590893,1,0,2.0834131,-2.2399367999999997,0.0,0.0,-4.2047057,4.6743061,1
7,Raise The School Leaving Age To 18,Young people should be able to think for themselves and make their own decisions.,Young people should not be unable to think for themselves and destroy their own decisions. ,-1.9910889,2.6325126,1,0,-3.0872283,2.5701556,1.0,0.0,0.5790667,-0.45471569999999994,0
8,Raise The School Leaving Age To 18,Not everyone is good at studying,Everyone is good at studying,-2.0078673,2.659577,1,0,-0.05677684400000001,-0.080109395,0.0,0.0,-2.087976695,2.6028001560000003,1
9,Make all museums free of charge,State funding should be used elsewhere,State funding shouldn't be used elsewhere,-1.9711173,2.6138568,1,0,-0.49827959999999993,0.055896472,1.0,0.0,-1.915220828,2.1155772,1
10,Chess must be at the Olympics,Opening up the Olympics for borderline sports is bad in itself,Opening up the olympics for borderline sports is good in itself,-0.2684828,0.20309463,1,0,1.691213,-1.708705,0.0,0.0,-1.9771877999999998,1.8943076300000001,1
11,Chess must be at the Olympics,Olympic sports are suppose to be physical,Olympic sports aren't supposed to be physical,-1.6009097,2.0797906,1,0,-1.8279762,1.3189969,1.0,0.0,-0.2819128000000002,0.2518144,1
12,‘The Spear’ should have remained on public display.,Public Decency,No public decency,-0.79768074,0.9520533999999999,1,0,0.96431357,-1.0974017,0.0,0.0,-1.89508244,1.91636697,1
13,Federal States are better than unitary nations,Losers abound in federal states.,Losers not abound in federal states.,-0.31801853,0.29763812,1,0,-0.13793246,0.028420504,1.0,0.0,-0.289598026,0.15970566,1
14,Federal States are better than unitary nations,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.","Federal governments not often extend thier powers and usurp local authority, especially if two or less private units aren't disproportionately powerful. ",-0.5191667000000001,0.6052611999999999,1,0,-0.577304,0.4229772,1.0,0.0,-0.0961895000000001,0.027957199999999904,1
15,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination towards women should be allowed,Positive discrimination towards women should not be allowed,-0.5901308000000001,0.5703041,1,0,1.4485507,-1.5533127,0.0,0.0,-2.1434435,2.0188547999999997,1
16,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","it is women, not men, who are disadvantaged in our society",-0.69402766,0.7750979,1,0,-1.1464177,1.1179694,1.0,0.0,0.42394173999999996,-0.3713198,0
17,Positive Discrimination Towards Women in Society Is Justified,Will Cause Resentment Between Men and Women,will not cause resentment among women and men,-0.8525925999999999,1.0051211,1,0,-2.1584096,1.6730634999999998,1.0,0.0,0.8204708999999999,-1.1532885000000002,0
18,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination for women is discrimination,Positive discrimination for women is not discrimination,-0.49575114,0.5246558000000001,1,0,0.011056686000000001,-0.09627034,0.0,0.0,-0.59202148,0.5357124860000001,1
