,claims,perpectives,opposite_auto,undermine_origin,support_origin,predict_origin,gold_origin,undermine_opposite,support_opposite,predict_opposite,gold_opposite,oppose_sum,support_sum,final_label
0,School Day Should Be Extended,Not enough fundng..., enough fundng...,-0.9363995999999999,1.0870366,1,0,-1.8127401,1.4358018999999997,1,0,0.49940229999999985,-0.7257035000000001,0
1,School Day Should Be Extended,So much easier for parents!,So little easier for parents!,-1.8532088,2.457341,1,1,1.5694236000000001,-1.6844436999999999,0,1,-3.5376525,4.0267646,1
2,School Day Should Be Extended,Less need for homework.,More need for homework.,-0.22757548,0.22970597,1,1,-1.5582533,1.1573004999999998,1,1,0.9297250199999998,-1.3285473300000001,0
3,Raise The School Leaving Age To 18,With more education comes more opportunities,With less education comes more opportunities,-2.0507588,2.65816,1,1,0.7661855,-0.82407343,0,1,-2.87483223,3.4243455000000003,1
4,Raise The School Leaving Age To 18,More Education Brings More Opportunities,Less Education Brings More Opportunities,-0.8223549000000001,0.9905379999999999,1,1,-1.099949,0.86137325,1,1,0.03901834999999987,-0.10941100000000015,0
5,Raise The School Leaving Age To 18,The more education you have the more opportunities,The less education you have the more opportunities,-2.0791202,2.6709828,1,1,0.99716204,-1.1078663999999998,0,1,-3.1869866,3.66814484,1
6,Raise The School Leaving Age To 18,More education brings more opportunities,Less education brings more opportunities,-2.081869,2.6981835,1,1,-3.1006136000000004,2.5689704,1,1,0.4871013999999998,-0.40243010000000057,0
7,Raise The School Leaving Age To 18,Opportunities are influenced by education,Opportunities are not influenced by education,-2.0385559,2.6619804,1,1,1.3407775,-1.3672885000000001,0,1,-3.4058444000000003,4.0027579,1
8,Raise The School Leaving Age To 18,"The longer they are educated, the more opportunities they get","The longer they are not educated, the more opportunities they get",-2.0433762,2.6472354,1,1,-1.3493145,1.0047464,1,1,-1.0386298,1.2979209,1
9,Raise The School Leaving Age To 18,There are cases where leaving school early is necessary,There are not cases where leaving school early is necessary,0.03772071,-0.03671103,0,0,0.10542356,-0.24130806,0,0,-0.20358735,0.06871253,1
10,Raise The School Leaving Age To 18,Forced education achieves little,Forced education achieves much ,0.34867716,-0.34447426,0,0,-3.0780656000000004,2.558453,1,0,2.90713016,-3.4225398600000005,0
11,Raise The School Leaving Age To 18,Little is accomplished when education is forced.,Much is accomplished when education is forced.,-1.8032172,2.4115667,1,0,-3.311615,2.915638,1,0,1.1124208,-0.9000483000000004,0
12,Raise The School Leaving Age To 18,Education that is forced does little.,Education that is not forced does little.,0.2683149,-0.2240613,0,0,0.46433535,-0.56972355,0,0,-0.30140864999999994,0.24027405,1
13,Raise The School Leaving Age To 18,Forced Education Achieves Little,Much ,-0.7703380999999999,0.9162488000000001,1,0,-0.6695909999999999,0.32849786,1,0,-0.44184023999999994,0.24665780000000015,1
14,Raise The School Leaving Age To 18,Not all skills are best learnt in a classroom environment., all skills are best learnt in a classroom environment.,-1.5698819,2.049508,1,0,-1.7089503000000001,1.1277342,1,0,-0.44214770000000003,0.34055769999999974,1
15,Raise The School Leaving Age To 18,Some skills are better learned outside the classroom.,Some skills are not better learned outside the classroom.,-0.91301185,1.1318482,1,0,1.9889966000000001,-2.0538397,0,0,-2.9668515500000003,3.1208448000000004,1
16,Raise The School Leaving Age To 18,The classroom environment is not ideal for all lessons.,The classroom environment is ideal for all lessons.,0.5441833,-0.5356163,0,0,-3.1576988999999998,2.7817876,1,0,3.3259708999999997,-3.6933152,0
17,Raise The School Leaving Age To 18,Raising the school-leaving age is a crucial investment in society's future,Raising the school-leaving age is not a crucial investment in society's future,-1.9513023,2.566372,1,1,1.6766769,-1.7719162,0,1,-3.7232184999999998,4.2430489,1
18,Raise The School Leaving Age To 18,Raising the school-leaving age is a crucial investment in society’s future,Raising the school-leaving age is not a crucial investment in society’s future,-1.975849,2.598547,1,1,1.7442324,-1.8444703000000002,0,1,-3.8203193000000004,4.3427793999999995,1
