,claims,perpectives,opposite,undermine_origin,support_origin,predict_origin,gold_origin,undermine_opposite,support_opposite,predict_opposite,gold_opposite,oppose_sum,support_sum,final_label
0,School Day Should Be Extended,Not enough funding…,Enough funding…,-0.9363995999999999,1.0870366,1,0,-1.4139686000000002,0.9970775,1,0,0.06067790000000006,-0.3269320000000002,0
1,Raise The School Leaving Age To 18,Little is accomplished when education is forced.,Big is accomplished when education is forced. ,-1.8032172,2.4115667,1,0,-3.311615,2.915638,1,0,1.1124208,-0.9000483000000004,0
2,Raise The School Leaving Age To 18,Forced Education Achieves Little,Forced education achieves big,-0.7703380999999999,0.9162488000000001,1,0,-2.6137555,2.0841537,1,0,1.3138155999999999,-1.6975067,0
3,Raise The School Leaving Age To 18,Not all skills are best learnt in a classroom environment.,All skills are best learnt in a classroom environment. ,-1.5698819,2.049508,1,0,-2.2507281000000003,1.6497285,1,0,0.07984659999999999,-0.20122010000000046,0
4,Raise The School Leaving Age To 18,Some skills are better learned outside the classroom.,None skills are worse learned inside the classroom. ,-0.91301185,1.1318482,1,0,1.6566534,-1.9311049,0,0,-2.84411675,2.7885016,1
5,Raise The School Leaving Age To 18,Young people should have the choice to decide for themselves,Young people should not have the choice to decide for themselves,-1.5782008,2.0711522,1,0,2.2357272999999998,-2.2304907000000003,0,0,-3.8086915,4.3068795,1
6,Raise The School Leaving Age To 18,Young people should have the freedom to make their own choices.,Young people should not have the restraint to destroy their own choices. ,-1.9647689,2.590893,1,0,2.1276011,-2.1531,0,0,-4.1178688999999995,4.7184941,1
7,Raise The School Leaving Age To 18,Young people should be able to think for themselves and make their own decisions.,Young people should not be unable to think for themselves and destroy their own decisions. ,-1.9910889,2.6325126,1,0,2.0834131,-2.2399367999999997,0,0,-4.2310257,4.7159257,1
8,Raise The School Leaving Age To 18,Not everyone is good at studying,Everyone is good at studying,-2.0078673,2.659577,1,0,-3.0872283,2.5701556,1,0,0.5622883000000001,-0.42765129999999996,0
9,Make all museums free of charge,State funding should be used elsewhere,State funding shouldn't be used elsewhere,-1.9711173,2.6138568,1,0,-0.05677684400000001,-0.080109395,0,0,-2.051226695,2.5570799560000004,1
10,Chess must be at the Olympics,Opening up the Olympics for borderline sports is bad in itself,Opening up the olympics for borderline sports is good in itself,-0.2684828,0.20309463,1,0,-0.49827959999999993,0.055896472,1,0,-0.21258632800000002,-0.29518496999999994,0
11,Chess must be at the Olympics,Olympic sports are suppose to be physical,Olympic sports aren't supposed to be physical,-1.6009097,2.0797906,1,0,1.691213,-1.708705,0,0,-3.3096147,3.7710036000000002,1
12,‘The Spear’ should have remained on public display.,Public Decency,No public decency,-0.79768074,0.9520533999999999,1,0,-1.8279762,1.3189969,1,0,0.5213161599999999,-0.8759228,0
13,Federal States are better than unitary nations,Losers abound in federal states.,Losers not abound in federal states.,-0.31801853,0.29763812,1,0,0.96431357,-1.0974017,0,0,-1.41542023,1.26195169,1
14,Federal States are better than unitary nations,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.","Federal governments not often extend thier powers and usurp local authority, especially if two or less private units aren't disproportionately powerful. ",-0.5191667000000001,0.6052611999999999,1,0,-0.13793246,0.028420504,1,0,-0.4907461960000001,0.4673287399999999,1
15,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination towards women should be allowed,Positive discrimination towards women should not be allowed,-0.5901308000000001,0.5703041,1,0,-0.577304,0.4229772,1,0,-0.16715360000000007,-0.006999900000000059,1
16,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","it is women, not men, who are disadvantaged in our society",-0.69402766,0.7750979,1,0,1.4485507,-1.5533127,0,0,-2.24734036,2.2236485999999998,1
17,Positive Discrimination Towards Women in Society Is Justified,Will Cause Resentment Between Men and Women,will not cause resentment among women and men,-0.8525925999999999,1.0051211,1,0,-1.1464177,1.1179694,1,0,0.2653768000000001,-0.1412966,0
18,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination for women is discrimination,Positive discrimination for women is not discrimination,-0.49575114,0.5246558000000001,1,0,-2.1584096,1.6730634999999998,1,0,1.1773123599999997,-1.6337538,0
19,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination takes away voters' freedom of choice by limiting their choices to women,negative discrimination does not take away voters' freedom of choice by limiting their choices to women,-0.019823581,0.021796674,1,0,0.011056686000000001,-0.09627034,0,0,-0.11609392099999999,0.03285336,1
20, College education is worth it,Many people succeed without college degrees.,No one succeeds without elementary school degrees. ,-0.97233367,1.186816,1,0,0.04499407,-0.11764978599999999,0,0,-1.0899834560000001,1.23181007,1
21, College education is worth it,Many college graduates are employed in jobs that do not require college degrees.,no elementary school graduates are employed in jobs that do not require elementary school degrees. ,-1.4495176,1.9510795,1,0,1.343617,-1.4767151,0,0,-2.9262327,3.2946965,1
22, College education is worth it,More and more college educated people are accepting jobs for which they do not need a college education. , less and less elementary school educated people aren't accepting jobs for which he do not have a elementary school education.  ,-0.33089957,0.3415411,1,0,0.46399266,-0.51726776,0,0,-0.8481673299999999,0.80553376,1
23, College education is worth it,Too many students earning degrees has diluted the value of a bachelor's degree.,Too less students earning degrees has not diluted the value of a bachelor's degree. ,-1.4367527,1.9066536,1,0,0.3956671,-0.47163457,0,0,-1.90838727,2.3023207,1
24, College education is worth it,The value of a bachelor's degree has lessened., the value of a bachelor's degree has not lessened. ,-1.4437978,1.9338453,1,0,0.057333358,-0.12606968,0,0,-1.56986748,1.991178658,1
25, College education is worth it,A bachelor's degree is considered standard now., a bachelor's degree is not considered standard eventually. ,-1.4844607,1.9286511,1,0,1.4772465,-1.58156,0,0,-3.0660207,3.4058976,1
26, College education is worth it,Many recent college graduates are un- or underemployed., none recent elementary school graduates are un- or underemployed. ,-0.3113742,0.29739827,1,0,-1.5380913999999999,1.3051573,1,0,0.9937831000000001,-1.24069313,0
27, College education is worth it,"In recent times, there are significant numbers of unemployed and underemployed college graduates. ","in recent moments, there aren't significant numbers of unemployed and underemployed elementary school graduates.  ",-0.748492,0.9217255,1,0,-0.3611703,0.18491066,1,0,-0.56358134,0.5605552,1
28, College education is worth it,"Among those who are unemployed and underemployed, there are many college graduates. ","Among these who are unemployed and underemployed, there aren't many elementary school graduates.  ",-0.9521901,1.1492308,1,0,0.52891546,-0.60204846,0,0,-1.55423856,1.6781462600000001,1
29, College education is worth it,Learning a trade profession is a better option than college for many young adults., learning a trade profession is a worse option than elementary school for many older adults. ,-0.4506177,0.48932767,1,0,2.5607479,-2.8239902999999997,0,0,-3.2746079999999997,3.0500755699999997,1
30, College education is worth it,Young adults should consider learning a trade instead of going to college.,Young adults shouldn't consider learning a trade instead of going to college. ,-0.3110325999999999,0.3487974,1,0,1.1607383,-1.3521922,0,0,-1.6632247999999998,1.5095357,1
31,Socialism is Dead,Socialism has changed historically to meet the challenges of the moment and is addressing those of the 21st century in new ways, socialism has not changed historically to meet the challenges of the moment and is addressing these of the 32st century in old ways,-0.4230713,0.4687948,1,0,-0.06660641,-0.091718644,0,0,-0.514789944,0.40218839,1
32,Socialism is Dead,Socialism can be molded to fit the needs of the moment. ,socialism can be molded to fit the wants of the moment.  ,-1.0586289,1.318568,1,0,-0.51426625,0.27092808,1,0,-0.78770082,0.8043017499999999,1
33,Socialism is Dead,Socialism is a an ever changing set of principles that can be applied in new ways to meet the challenges of a changing world., socialism is a never changing set of principles that can be applied out old ways to meet the challenges of a changing galaxy. ,-0.5084725,0.5602625,1,0,-0.08015973,-0.17181629,0,0,-0.68028879,0.48010277,1
34,Socialism is Dead,socialism have changed and adapted to meet the upcoming challenges of the 21st century, socialism has not changed and adapted to meet the upcoming challenges of the 32st century,-0.7761328000000001,0.91648227,1,0,0.18666093,-0.35719875,0,0,-1.13333155,1.1031432,1
35,Socialism is Dead,Socialism outranks capitalism in security.,socialism does not outrank communism in security. ,-0.6521988000000001,0.7046226,1,0,0.92265886,-1.0006757,0,0,-1.6528745,1.6272814599999998,1
36,College football should replace the bowl championship series (BCS),The BCS rankings are designed to favor consistency over the course of the entire season., the BCS rankings aren't designed to favor consistency over the course of the entire season. ,-1.2682765,1.5970982,1,0,3.0963998,-3.0950046,0,0,-4.3632811,4.693498,1
37,Pensions should be privatised,Historical evidence has shown that privatisation has been unsuccessful, historical disproof has hidden that privatisation has not been unsuccessful,-1.0129348,1.2108707,1,0,2.0107436,-2.0181277,0,0,-3.0310625,3.2216143,1
38,You have nothing to worry about surveillance if you have done nothing wrong,Lack of trust,lack of distrust,-0.66021043,0.6978005,1,0,-1.0734854,0.71749544,1,0,0.05728500999999997,-0.3756849,0
39,You have nothing to worry about surveillance if you have done nothing wrong,There is no trust,there is trust,-0.05786787,0.06656344,1,0,-0.98831874,0.3629683,1,0,0.30510043000000003,-0.9217552999999999,0
40,You have nothing to worry about surveillance if you have done nothing wrong,Trust is missing.,trust is not missing. ,-0.67920315,0.7251935,1,0,-0.27760250000000003,-0.08765751,1,0,-0.76686066,0.447591,1
41,You have nothing to worry about surveillance if you have done nothing wrong,The use of meta data causes unintentional harm, the break of meta data causes unintentional harm,-0.6101001,0.6797308000000001,1,0,-1.5733495000000002,1.0997008999999998,1,0,0.4896007999999997,-0.8936187000000001,0
42,You have nothing to worry about surveillance if you have done nothing wrong,Abuse of information and power by intelligence agencies,No abuse of information and power by intelligence agencies,-0.7492433000000001,0.80777717,1,0,-1.5254018,1.2144377,1,0,0.4651943999999999,-0.71762463,0
43,You have nothing to worry about surveillance if you have done nothing wrong,Agencies use surveillance to abuse their power.,Agencies do not use surveillance to abuse their power.,-0.8948011,1.0428584,1,0,-0.3127262,0.11640273,1,0,-0.77839837,0.7301322000000001,1
44,You have nothing to worry about surveillance if you have done nothing wrong,Power trips can be had by agencies.,Power trips can be good by agencies.,-0.9495358,1.1076958,1,0,-1.4521825000000002,0.8343431999999998,1,0,-0.1151926000000002,-0.34448670000000026,0
