,claims,perpectives,opposite,undermine_origin,support_origin,predict_origin,gold_origin,undermine_opposite,support_opposite,predict_opposite,gold_opposite,oppose_sum,support_sum,final_label
0,Raise The School Leaving Age To 18,There are cases where leaving school early is necessary,There are no cases where leaving school early is necessary,0.03772071,-0.03671103,0,0,-1.6200198000000001,1.5168836,1,0,1.5546043100000002,-1.65673083,0
1,Raise The School Leaving Age To 18,Forced education achieves little,Forced education achieves a lot.,0.34867716,-0.34447426,0,0,-2.5600123,2.061626,1,0,2.41030316,-2.90448656,0
2,Raise The School Leaving Age To 18,Education that is forced does little.,Education that is forced does a lot.,0.2683149,-0.2240613,0,0,2.436618,-2.6127214,0,0,-2.3444065,2.2125567000000004,1
3,Raise The School Leaving Age To 18,The classroom environment is not ideal for all lessons.,The classroom environment is ideal for all lessons.,0.5441833,-0.5356163,0,0,-3.1576988999999998,2.7817876,1,0,3.3259708999999997,-3.6933152,0
4,Raise The School Leaving Age To 18,Unrealistically costly,Unrealistically cheap,1.3683965,-1.2019459,0,0,-0.9316153,0.5557121,1,0,1.9241086,-2.1335612,0
5,Raise The School Leaving Age To 18,Some people are unable to handle the rigor of university-level coursework.,People are able to handle the rigor of university-level coursework.,1.5425913,-1.5093939,0,0,-3.2707745999999998,2.9905617,1,0,4.533153,-4.7801685,0
6,Raise The School Leaving Age To 18,We shouldn't force people to study if they aren't good at it and choose not to.,We should force people to study even if they aren't good at it and choose not to.,0.7317246000000001,-0.64508295,0,0,1.4437116,-1.4423149,0,0,-0.7105902999999999,0.79862865,1
7,Raise The School Leaving Age To 18,not everyone is good academically,Everyone is good academically,0.93362284,-0.81812423,0,0,-2.9647264,2.4786568,1,0,3.41227964,-3.78285063,0
8,Raise The School Leaving Age To 18,some people are not good at studying,People are good at studying,1.0730466,-0.9547505,0,0,-2.7561536,2.2130892,1,0,3.2861358000000003,-3.7109041,0
9,Raise The School Leaving Age To 18,Compulsory studying would be taking young people out of the workforce,Compulsory studying would not be taking young people out of the workforce,2.7640383,-2.810419,0,0,2.1105107999999997,-2.193453,0,0,0.5705853000000003,-0.6999082000000003,0
10,Raise The School Leaving Age To 18,Making university education compulsory would take young people out of the workforce.,Making university education compulsory would not take young people out of the workforce.,2.7341728,-2.826967,0,0,2.1070704,-2.1734294999999997,0,0,0.5607433000000004,-0.7198965999999998,0
