,claims,perpectives,undermine_score,support_score,predict_label,gold_label
0,School Day Should Be Extended,Not enough fundng...,-0.9363995999999999,1.0870366000000002,1,0
14,Raise The School Leaving Age To 18,Little is accomplished when education is forced.,-1.8032172,2.4115667000000003,1,0
16,Raise The School Leaving Age To 18,Forced Education Achieves Little,-0.7703380999999999,0.9162488000000001,1,0
17,Raise The School Leaving Age To 18,Not all skills are best learnt in a classroom environment.,-1.5698819,2.0495080000000003,1,0
18,Raise The School Leaving Age To 18,Some skills are better learned outside the classroom.,-0.91301185,1.1318482,1,0
31,Raise The School Leaving Age To 18,Young people should have the choice to decide for themselves,-1.5782008,2.0711522,1,0
32,Raise The School Leaving Age To 18,Young people should have the freedom to make their own choices.,-1.9647689,2.590893,1,0
33,Raise The School Leaving Age To 18,Young people should be able to think for themselves and make their own decisions.,-1.9910888999999998,2.6325126,1,0
35,Raise The School Leaving Age To 18,Not everyone is good at studying,-2.0078673,2.659577,1,0
47,Make all museums free of charge,State funding should be used elsewhere,-1.9711173,2.6138567999999998,1,0
62,Chess must be at the Olympics,Opening up the Olympics for borderline sports is bad in itself,-0.2684828,0.20309463,1,0
64,Chess must be at the Olympics,Olympic sports are suppose to be physical,-1.6009096999999999,2.0797906000000004,1,0
74,‘The Spear’ should have remained on public display.,Public Decency,-0.79768074,0.9520533999999999,1,0
78,Federal States are better than unitary nations,Losers abound in federal states.,-0.31801853,0.29763812,1,0
81,Federal States are better than unitary nations,"Federal governments often extend their powers and usurp local authority, especially if one or more federal units are disproportionately powerful.",-0.5191667000000001,0.6052611999999999,1,0
84,The Catholic Church needs reform,"Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.",0.49795696,-0.45717147,0,1
85,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.",0.64645255,-0.56185997,0,1
88,The Catholic Church needs reform,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.",0.46182612,-0.39289063,0,1
89,The Catholic Church needs reform,One of the reasons clerical child rape has happened is due to priests being forced to remain celibate.,0.45777085,-0.413397,0,1
91,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination towards women should not be allowed,-0.5901308000000001,0.5703041,1,0
92,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society",-0.69402766,0.7750979,1,0
93,Positive Discrimination Towards Women in Society Is Justified,Will Cause Resentment Between Men and Women,-0.8525925999999999,1.0051211,1,0
104,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination for women is discrimination,-0.49575114,0.5246558000000001,1,0
106,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination takes away voters' freedom of choice by limiting their choices to women,-0.019823581,0.021796674,1,0
112, College education is worth it,Many people succeed without college degrees.,-0.97233367,1.186816,1,0
115, College education is worth it,Many college graduates are employed in jobs that do not require college degrees.,-1.4495176,1.9510794999999999,1,0
117, College education is worth it,More and more college educated people are accepting jobs for which they do not need a college education. ,-0.33089957,0.3415411,1,0
133, College education is worth it,Too many students earning degrees has diluted the value of a bachelor's degree.,-1.4367527,1.9066536,1,0
134, College education is worth it,The value of a bachelor's degree has lessened.,-1.4437978,1.9338453000000002,1,0
135, College education is worth it,A bachelor's degree is considered standard now.,-1.4844607,1.9286511000000002,1,0
155, College education is worth it,Many recent college graduates are un- or underemployed.,-0.31137420000000005,0.29739827,1,0
156, College education is worth it,"In recent times, there are significant numbers of unemployed and underemployed college graduates. ",-0.748492,0.9217255,1,0
157, College education is worth it,"Among those who are unemployed and underemployed, there are many college graduates. ",-0.9521901,1.1492308,1,0
163, College education is worth it,Learning a trade profession is a better option than college for many young adults.,-0.45061769999999995,0.48932767,1,0
164, College education is worth it,Young adults should consider learning a trade instead of going to college.,-0.31103259999999994,0.34879740000000004,1,0
184,Socialism is Dead,Socialism has changed historically to meet the challenges of the moment and is addressing those of the 21st century in new ways,-0.4230713,0.4687948,1,0
185,Socialism is Dead,Socialism can be molded to fit the needs of the moment. ,-1.0586289,1.318568,1,0
186,Socialism is Dead,Socialism is a an ever changing set of principles that can be applied in new ways to meet the challenges of a changing world.,-0.5084725,0.5602625,1,0
187,Socialism is Dead,socialism have changed and adapted to meet the upcoming challenges of the 21st century,-0.7761328000000001,0.91648227,1,0
