,claims,perpectives,undermine_score,support_score,predict_label,gold_label
84,The Catholic Church needs reform,"Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.",0.49795696,-0.45717147,0,1
85,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.",0.64645255,-0.56185997,0,1
88,The Catholic Church needs reform,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.",0.46182612,-0.39289063,0,1
89,The Catholic Church needs reform,One of the reasons clerical child rape has happened is due to priests being forced to remain celibate.,0.45777085,-0.413397,0,1
193,Socialism is Dead,Globalisation has made socialism impractical to implement,0.71259457,-0.67752016,0,1
205,There is life after death,yes there is a heaven and a hell,0.41386480000000003,-0.26475108,0,1
210,College football should replace the bowl championship series (BCS),"A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.",2.3844779,-2.4012666,0,1
217,Pensions should be privatised,Government pension schemes are not a viable or sustainable option.,2.3059227000000004,-2.340664,0,1
222,Pensions should be privatised,State involvement in pensions is deleterious to both pensioners and the state.,2.5746990000000003,-2.598888,0,1
238,You have nothing to worry about surveillance if you have done nothing wrong,information gathered  can be used to fight terrorism .,0.2776289,-0.06114421,0,1
243,The use of animals as objects of sport and entertainment should be banned.,The need for pest control or conservation does not justify blood sports. ,0.24078965,-0.23051378,0,1
244,The use of animals as objects of sport and entertainment should be banned.,Pest control or conservation arguments does not rationalize our use of animals as objects in blood sports.,1.680178,-1.6031051,0,1
245,The use of animals as objects of sport and entertainment should be banned.,The use of animals as objects in blood sports cannot be justified by the week argument that it provides benefit through pest control or conservation.,-0.0054644197,-0.030893207000000002,0,1
250,The use of animals as objects of sport and entertainment should be banned.,Animals should not be treated as objects or property as doing so allows them to be treated amorally.,0.1043455,-0.043657972999999996,0,1
255,The use of animals as objects of sport and entertainment should be banned.,It is not possible to harmlessly have animals as entertainment,0.11735766,-0.12004616,0,1
261,The use of animals as objects of sport and entertainment should be banned.,Bullfighting is too dangerous to humans to justify,2.527791,-2.5753790000000003,0,1
