undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
-4.223587,3.430138,0.020014465,0.012878656,1,0,1,1,School Day Should Be Extended,Lessons would feel less broken.,Lessons would not feel less broken.
-1.6599853999999998,2.5632455000000003,0.27741253,0.15797633,1,0,1,1,School Day Should Be Extended,Less need for homework.,More need for homework.
6.975863,-2.3723919999999996,1.9207759999999998,1.9287682000000002,0,1,1,1,Chess must be at the Olympics,"Chess is currently not an Olympic sport, but it should be.","Chess is currently an Olympic sport, but it should be."
1.8122996999999998,-0.92704743,1.0966926000000001,1.6611788,0,1,1,1,Federal States are better than unitary nations,Citizens are better protected in federal states.,Citizens are not better protected in federal states.
2.3636642000000005,-1.4785311,1.1793341999999998,1.4221778,0,1,1,1,Federal States are better than unitary nations,Federal states are economically stronger,Federal states are not economically stronger
-0.14259715,0.31811538,0.31345898,0.12050313,1,0,1,1,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.","The Catholic Church wants loyalty to institution, to the common man."
5.1893400000000005,-5.870833999999999,1.7080707999999998,1.7808544999999998,0,1,1,1,The Catholic Church needs reform,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.","If priests were forced to be celibate, the issue of child rate would not be as widespread."
4.9766994,-0.7667258000000001,1.3191316000000002,1.7891183000000002,0,1,0,0,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","It is Men, Women, who are Disadvantaged in our Society"
6.6647644,-2.3380047999999998,1.9578102,1.9627199,0,1,0,0,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination takes away voters' freedom of choice by limiting their choices to women, negative discrimination takes away voters' freedom of choice by limiting their choices to women
-2.499869,2.0185299999999997,0.45105845,0.013398945,1,0,1,1,Positive Discrimination Towards Women in Society Is Justified,Women are vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament. ,Women are not vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament.
-3.912886,3.5814877,0.21423429,0.18993616,1,0,1,1,Positive Discrimination Towards Women in Society Is Justified,"Until as recently as 20 years ago, no more than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic","Until as recently as 20 years ago, no less than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic"
3.4377102999999996,-1.7020648999999997,1.0917683999999999,1.1698959,0,1,0,0, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
-2.28303,2.3072689,0.42603797,0.20001078,1,0,0,0, College education is worth it,Many college graduates are employed in jobs that do not require college degrees.,Many college graduates are employed in jobs that do require college degrees.
-1.6092399,1.0260099,0.6004571999999999,0.102158844,1,0,1,1, College education is worth it,More jobs only hire those with college degrees.,Less jobs only hire those with college degrees.
1.6770337,1.4355392,1.2011003,1.6276030000000001,0,1,1,1, College education is worth it,College graduates make more money.,College graduates make less money.
6.4989667,-1.8290417,1.8949202,1.9682518,0,1,0,0, College education is worth it,The total cost of going to college also includes the cost of missing opportunities to make money at a job.,The total cost of going not to college also includes the cost of missing opportunities to make money at a job.
-3.9840313999999997,4.0418324,0.06030357,0.051696062,1,0,1,1,Socialism is Dead,Socialism was a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better,Socialism was not a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better
-3.7459807,4.0530787,0.06601095,0.031380832000000004,1,0,1,1,Socialism is Dead,Capitalism replaced Socialism because it's the better system.,Capitalism replaced Socialism because it's the worse system.
-3.5966058,3.6805382000000004,0.09430176,0.031254828,1,0,1,1,Socialism is Dead,Socialism is no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.,Socialism is not no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.
-4.508074,3.2939377,0.00674212,0.005174458,1,0,1,1,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,Governments in countries where terrorism is prevalent should allocate tax dollars to a pool to compensate nations that have been victims.,Governments in countries where terrorism is not prevalent should allocate tax dollars to a pool to compensate nations that have been victims.
