,claims,perpectives,undermine_score,support_score,predict_label,gold_label
1,School Day Should Be Extended,So much easier for parents!,-1.8532088,2.457341,1,1
2,School Day Should Be Extended,Less need for homework.,-0.22757548,0.22970597,1,1
3,School Day Should Be Extended,Time to finish activities,-1.1883204,1.4577844,1,1
4,Raise The School Leaving Age To 18,With more education comes more opportunities,-2.0507588,2.6581599999999996,1,1
5,Raise The School Leaving Age To 18,More Education Brings More Opportunities,-0.8223549000000001,0.9905379999999999,1,1
6,Raise The School Leaving Age To 18,The more education you have the more opportunities,-2.0791202,2.6709828,1,1
7,Raise The School Leaving Age To 18,More education brings more opportunities,-2.0818689999999997,2.6981835,1,1
8,Raise The School Leaving Age To 18,Opportunities are influenced by education,-2.0385558999999995,2.6619804,1,1
9,Raise The School Leaving Age To 18,"The longer they are educated, the more opportunities they get",-2.0433762,2.6472354,1,1
10,Raise The School Leaving Age To 18,Raising the school learning age promotes equal opportunities,-2.0896997,2.6851773,1,1
11,Raise The School Leaving Age To 18,Raising the school leaving age promotes equal opportunities,-2.085701,2.688592,1,1
12,Raise The School Leaving Age To 18,There are cases where leaving school early is necessary,0.03772071,-0.03671103,0,0
13,Raise The School Leaving Age To 18,Forced education achieves little,0.34867716,-0.34447426,0,0
15,Raise The School Leaving Age To 18,Education that is forced does little.,0.2683149,-0.2240613,0,0
19,Raise The School Leaving Age To 18,The classroom environment is not ideal for all lessons.,0.5441833,-0.5356163,0,0
20,Raise The School Leaving Age To 18,Raising the school-leaving age is a crucial investment in society's future,-1.9513023,2.5663720000000003,1,1
21,Raise The School Leaving Age To 18,A good investment in society would be to raise the school leaving age.,-1.4264135,1.7910838,1,1
22,Raise The School Leaving Age To 18,Society's future depends on raising the school-leaving age.,-1.7993675,2.456626,1,1
23,Raise The School Leaving Age To 18,Raising the school-leaving age is a crucial investment in society’s future,-1.9758490000000002,2.598547,1,1
24,Raise The School Leaving Age To 18,The economy of the future requires more education,-1.9931637,2.6165497,1,1
25,Raise The School Leaving Age To 18,"In the future, the economy will rely on those with more education.",-1.6661581,2.2242212,1,1
26,Raise The School Leaving Age To 18,The economy needs educated people in order to do well in the future.,-1.9026908,2.5417232999999997,1,1
27,Raise The School Leaving Age To 18,Society has a moral responsibility to educate all its young people,-2.0161605,2.65384,1,1
28,Raise The School Leaving Age To 18,Society should make it easier for all young people to receive an education.,-1.2016234,1.5730051,1,1
29,Raise The School Leaving Age To 18,Benefit from the increase in skills through their standard of living,-1.8352876,2.4312825,1,1
30,Raise The School Leaving Age To 18,The aging population and increasing retirement age requires higher skills,-1.6574452000000002,2.1663213,1,1
34,Raise The School Leaving Age To 18,Unrealistically costly,1.3683965,-1.2019459,0,0
36,Raise The School Leaving Age To 18,Some people are unable to handle the rigor of university-level coursework.,1.5425913,-1.5093938999999998,0,0
37,Raise The School Leaving Age To 18,We shouldn't force people to study if they aren't good at it and choose not to.,0.7317246000000001,-0.64508295,0,0
38,Raise The School Leaving Age To 18,not everyone is good academically,0.93362284,-0.81812423,0,0
39,Raise The School Leaving Age To 18,some people are not good at studying,1.0730466,-0.9547505,0,0
40,Raise The School Leaving Age To 18,Compulsory studying would be taking young people out of the workforce,2.7640382999999997,-2.810419,0,0
41,Raise The School Leaving Age To 18,Making university education compulsory would take young people out of the workforce.,2.7341728,-2.826967,0,0
42,Raise The School Leaving Age To 18,some young people would be taken out of workforce by compulsory studying,2.6122092999999995,-2.6397362,0,0
43,Raise The School Leaving Age To 18,compulsory studying may remove young people from the workforce,2.188097,-2.1484952,0,0
44,Make all museums free of charge,Museums preserve and display our heritage and therefore should be accessible to all of the public free of charge,-2.0392914,2.700511,1,1
45,Make all museums free of charge,"Since museums essentially maintain our collective histories, there should be free access to all citizens.",-1.4880183999999999,1.9634668999999998,1,1
46,Make all museums free of charge,"Museums exist as an archive of our shared experiences and history, and as such, should grant access to all without charge. ",-1.8159046000000003,2.3748012000000003,1,1
48,Make all museums free of charge,Funding for museums is wasteful,1.7089951,-1.5969771000000001,0,0
49,Make all museums free of charge,We should not expect the state to fund museums,1.1331396,-1.0252016,0,0
50,Make all museums free of charge,Museums are a crucial source of inspiration and education,-2.1128777999999997,2.705835,1,1
51,Make all museums free of charge,Museums are a necessary part of a society's understanding of culture and edification.,-1.9835345000000002,2.5979642999999997,1,1
52,Make all museums free of charge,Museums are critical to the motivations as well as the education of a society as a whole. ,-2.0363355,2.6962029999999997,1,1
53,Make all museums free of charge,Museum charges can be offset by government funding,-1.8158772,2.4264135,1,1
54,Make all museums free of charge,Free museums encourage attendance,-2.1324337000000004,2.7350872,1,1
55,Make all museums free of charge,People are more likely to attend museums if they are free. ,-1.3174537,1.6672238999999998,1,1
56,Make all museums free of charge,"If state-funded, there is little incentive to increase numbers of visitors",0.48087582,-0.42738622,0,0
57,Sports initiations should be banned,Encourages binge drinking and bullying,-1.3909695,1.7190971000000002,1,1
58,Chess must be at the Olympics,Chess ought to qualify as an Olympic sport,-1.6693546000000001,2.161736,1,1
59,Chess must be at the Olympics,It would be appropriate for Chess to become an Olympic sport.,-1.7954906000000002,2.3850700000000002,1,1
60,Chess must be at the Olympics,"Chess is currently not an Olympic sport, but it should be.",-0.486138,0.4817694,1,1
61,Chess must be at the Olympics,chess should be included in the list of Olympic sport,-1.5436497,1.9946884999999999,1,1
63,Chess must be at the Olympics,Chess lacks the necessary physical activity,1.6441801999999999,-1.6183938999999998,0,0
65,Chess must be at the Olympics,Chess is highly popular and should be represented,-1.988477,2.6301107000000004,1,1
66,Chess must be at the Olympics,Chess is popular worldwide and should be an Olympic sport.,-1.0457103,1.3124818999999999,1,1
67,Chess must be at the Olympics,The popularity of Chess worldwide sets it up as an appropriate Olympic sport.,-1.9133313000000003,2.5490174,1,1
68,Chess must be at the Olympics,Chess is one of the popular sport that should be represented at the Olympic.,-1.6284622,2.1537433,1,1
69,Chess must be at the Olympics,Introducing chess would preserve the spirit of the ancient Olympic Games,-1.7242653000000001,2.3332255,1,1
70,Chess must be at the Olympics,Chess cannot ensure fair play,0.99276614,-0.96850353,0,0
71,Chess must be at the Olympics,Mind sports are some of the world's oldest and most contested competitive sports.,-1.1299691,1.4052482,1,1
72,Chess must be at the Olympics,Mind sports have been around for centuries and are competitive.,-1.7476197,2.3283296,1,1
73,Chess must be at the Olympics,Mind sports is the oldest and most highly competitive sports.,-1.4885694999999999,1.9390013,1,1
75,Federal States are better than unitary nations,Federal states are better able to protect their citizens.,-0.70872295,0.83012193,1,1
76,Federal States are better than unitary nations,Citizens are better protected in federal states.,-1.1787828000000002,1.4940662,1,1
77,Federal States are better than unitary nations,Federal States often have persistent losers.,1.8199872,-1.6961727999999998,0,0
79,Federal States are better than unitary nations,Being a federal state helps large states deal with divergent economic performance,-1.8106585,2.3854352999999997,1,1
80,Federal States are better than unitary nations,Federal United States are better off economically.,-1.5375723999999997,2.0326176,1,1
82,Federal States are better than unitary nations,Federal states are economically stronger,-2.0208168,2.6550581,1,1
83,The Catholic Church needs reform,It currently promotes loyalty to the institution not the laity,-0.1159854,0.11507062,1,1
86,The Catholic Church needs reform,Catholicism has become too corporate,0.0024986044,0.047902415999999996,1,1
87,The Catholic Church needs reform,"Clerical rape of children is, in part, due to the celibacy of priests and must change",-1.6863828999999997,2.2763362000000003,1,1
90,The Catholic Church needs reform,Too much responsibility on the Pope,-1.225837,1.5478874,1,1
94,Positive Discrimination Towards Women in Society Is Justified,It does not address the underlying issues,1.6628168,-1.5588493,0,0
95,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination towards women should be allowed,-0.39993164,0.42578328,1,1
96,Positive Discrimination Towards Women in Society Is Justified,It is right to treated women differently than men in some cases. ,-1.1330178,1.3472624,1,1
97,Positive Discrimination Towards Women in Society Is Justified,"Due to physical difference between men and women, it's ok to have some positive discrimination towards women. ",-0.7638791,0.9243287,1,1
98,Positive Discrimination Towards Women in Society Is Justified,Parliament must be representative of our society and that requires a substantial increase in the number of women which only positive discrimination can achieve,-2.0531998,2.6703862999999997,1,1
99,Positive Discrimination Towards Women in Society Is Justified,"If we want Parliament to be truly representative of our society, we must use positive discrimination to increase the number of female members",-1.3059821000000003,1.6898381999999998,1,1
100,Positive Discrimination Towards Women in Society Is Justified,Female role models are needed urgently to raise aspirations among young women and change parliamentary practices,-1.8238157,2.4416322999999998,1,1
101,Positive Discrimination Towards Women in Society Is Justified,Female role models need to give hope to the desires of young women and change parliamentary practices.,-1.9827302,2.6116014,1,1
102,Positive Discrimination Towards Women in Society Is Justified,Female role models need to help young women achieve higher aspiration to change parliamentary practices.,-1.9758018,2.6299896,1,1
103,Positive Discrimination Towards Women in Society Is Justified,In order to change parliamentary practices it is urgent to have female role models to raise aspirations among young women.,-1.9413699,2.5877914,1,1
105,Positive Discrimination Towards Women in Society Is Justified,All-women shortlists or quotas restrict a constituent's freedom of choice,0.4584117999999999,-0.3977868,0,0
107,Positive Discrimination Towards Women in Society Is Justified,Women are vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament. ,-0.048769757000000004,0.083337545,1,1
108,Positive Discrimination Towards Women in Society Is Justified,"Until as recently as 20 years ago, no more than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic",-0.9808711999999999,1.1350014,1,1
109,Positive Discrimination Towards Women in Society Is Justified,You have to treat people differently in order to reach equality,-0.33887127,0.34210405,1,1
110, College education is worth it,College graduates are more productive as members of society.,-2.0716561999999996,2.6759663,1,1
111, College education is worth it,An increase of graduates from college is beneficial to those in society who never attend college.,-2.1213346,2.7185837999999998,1,1
113, College education is worth it,"Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. ",0.7283745,-0.6492467,0,0
114, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.",0.8449395000000001,-0.72853243,0,0
116, College education is worth it,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,0.10580224,-0.019644104,0,0
118, College education is worth it,College exposes students to diverse people and ideas.,-1.9483453000000002,2.569601,1,1
119, College education is worth it,One of the benefits of a college education is the exposure it provides to a multitude of people and ideas.,-0.90010524,1.0980148,1,1
120, College education is worth it,College exposes students to a wide  range of experiences and world perspectives.,-2.0176272,2.6466274,1,1
121, College education is worth it,College graduates are more likely to have health insurance and retirement plans.,-1.6453363,2.1798215,1,1
122, College education is worth it,Those who graduate from college are more likely to have retirement plans and health insurance.,-1.5502876,2.0627286,1,1
123, College education is worth it,Graduating from college increases the likelihood of having health insurance and a retirement plan.,-1.6894999,2.2410069,1,1
124, College education is worth it,Colleges may be indoctrinating students instead of educating them.,1.1241674,-1.0752108999999999,0,0
125, College education is worth it,Colleges may be brainwashing their students rather than helping them further their education.,1.9109709,-1.8944505,0,0
126, College education is worth it,There are more students that are having their views and values shifted during college than in the past.,0.22895993,-0.16212371,0,0
127, College education is worth it,The children of college graduates are healthier and more prepared for school.,-2.0441468,2.6765213,1,1
128, College education is worth it,"College graduates tend to have healthier, better educated offspring.",-1.7752658,2.3954601,1,1
129, College education is worth it,Children are typically healthier and more studious when their parents have graduated  college.,-1.4215151000000001,1.8376390999999999,1,1
130, College education is worth it,More and more jobs require college degrees.,-0.8323834999999999,0.9674396000000001,1,1
131, College education is worth it,A college degree is required for an increasing number of jobs.,-1.6772436000000002,2.2096322,1,1
132, College education is worth it,More jobs only hire those with college degrees.,-0.26682457,0.26356977,1,1
136, College education is worth it,College graduates have more and better employment opportunities.,-1.9129064999999998,2.5238416,1,1
137, College education is worth it,Graduating from college increases employment opportunities.,-2.0068462,2.6394122,1,1
138, College education is worth it,The variety and quality of employment opportunities increases for college graduates.,-2.0984766,2.6959982000000005,1,1
139, College education is worth it,Earning a college degree is a major life achievement.,-2.0878520000000003,2.6923876,1,1
140, College education is worth it,A college education is a significant accomplishment.,-2.0620583999999997,2.6800227000000003,1,1
141, College education is worth it,One of the most important things that one can achieve in their lifetime is a college education. ,-1.8533868999999998,2.4740129,1,1
142, College education is worth it,Young adults learn interpersonal skills in college.,-2.0027053,2.6168625,1,1
143, College education is worth it,College imparts interpersonal skills to students.,-2.0120782999999998,2.666804,1,1
144, College education is worth it,Graduating from college can keep poverty at bay.,-1.9675251,2.6420925,1,1
145, College education is worth it,College graduates make more money.,-1.8706784,2.4806004,1,1
146, College education is worth it,College graduates have lower poverty rates.,-2.044222,2.7013552000000005,1,1
147, College education is worth it,College graduates do better financially.,-1.8751639999999998,2.4960756,1,1
148, College education is worth it,People who graduate from college have more earning power.,-2.003533,2.6406707999999997,1,1
149, College education is worth it,College education has a high return as an investment.,-1.658665,2.2309484,1,1
150, College education is worth it,Gaining a college education is money well spent. ,-1.9361247,2.585875,1,1
151, College education is worth it,Earning college education is always a worthwhile investment. ,-1.1261617,1.4289052,1,1
