,claims,perpectives,undermine_score,support_score,predict_label,gold_label
12,Raise The School Leaving Age To 18,There are cases where leaving school early is necessary,0.03772071,-0.03671103,0,0
13,Raise The School Leaving Age To 18,Forced education achieves little,0.34867716,-0.34447426,0,0
15,Raise The School Leaving Age To 18,Education that is forced does little.,0.2683149,-0.2240613,0,0
19,Raise The School Leaving Age To 18,The classroom environment is not ideal for all lessons.,0.5441833,-0.5356163,0,0
34,Raise The School Leaving Age To 18,Unrealistically costly,1.3683965,-1.2019459,0,0
36,Raise The School Leaving Age To 18,Some people are unable to handle the rigor of university-level coursework.,1.5425913,-1.5093938999999998,0,0
37,Raise The School Leaving Age To 18,We shouldn't force people to study if they aren't good at it and choose not to.,0.7317246000000001,-0.64508295,0,0
38,Raise The School Leaving Age To 18,not everyone is good academically,0.93362284,-0.81812423,0,0
39,Raise The School Leaving Age To 18,some people are not good at studying,1.0730466,-0.9547505,0,0
40,Raise The School Leaving Age To 18,Compulsory studying would be taking young people out of the workforce,2.7640382999999997,-2.810419,0,0
41,Raise The School Leaving Age To 18,Making university education compulsory would take young people out of the workforce.,2.7341728,-2.826967,0,0
42,Raise The School Leaving Age To 18,some young people would be taken out of workforce by compulsory studying,2.6122092999999995,-2.6397362,0,0
43,Raise The School Leaving Age To 18,compulsory studying may remove young people from the workforce,2.188097,-2.1484952,0,0
48,Make all museums free of charge,Funding for museums is wasteful,1.7089951,-1.5969771000000001,0,0
49,Make all museums free of charge,We should not expect the state to fund museums,1.1331396,-1.0252016,0,0
56,Make all museums free of charge,"If state-funded, there is little incentive to increase numbers of visitors",0.48087582,-0.42738622,0,0
63,Chess must be at the Olympics,Chess lacks the necessary physical activity,1.6441801999999999,-1.6183938999999998,0,0
70,Chess must be at the Olympics,Chess cannot ensure fair play,0.99276614,-0.96850353,0,0
77,Federal States are better than unitary nations,Federal States often have persistent losers.,1.8199872,-1.6961727999999998,0,0
94,Positive Discrimination Towards Women in Society Is Justified,It does not address the underlying issues,1.6628168,-1.5588493,0,0
105,Positive Discrimination Towards Women in Society Is Justified,All-women shortlists or quotas restrict a constituent's freedom of choice,0.4584117999999999,-0.3977868,0,0
113, College education is worth it,"Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. ",0.7283745,-0.6492467,0,0
114, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.",0.8449395000000001,-0.72853243,0,0
116, College education is worth it,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,0.10580224,-0.019644104,0,0
124, College education is worth it,Colleges may be indoctrinating students instead of educating them.,1.1241674,-1.0752108999999999,0,0
125, College education is worth it,Colleges may be brainwashing their students rather than helping them further their education.,1.9109709,-1.8944505,0,0
126, College education is worth it,There are more students that are having their views and values shifted during college than in the past.,0.22895993,-0.16212371,0,0
161, College education is worth it,A college degree is no guarantee of workplace benefits.,0.11567433,-0.11732805,0,0
162, College education is worth it,There is no guarantee there will be benefits.,0.3585946,-0.32867634,0,0
165, College education is worth it,Trade professions are in need of more individuals and it may be more profitable than going to college.,0.17167579,-0.09242683,0,0
174, College education is worth it,The total cost of going to college also includes the cost of missing opportunities to make money at a job.,1.0743731,-0.9568205,0,0
175, College education is worth it,College stress can lead to health problems and other negative consequences.,2.8501964,-2.9519997000000004,0,0
176, College education is worth it,College degrees do not guarantee learning or job preparation.,0.76024246,-0.67198026,0,0
177, College education is worth it,Acquiring a degree does not guarantee you a job.,0.22295189,-0.22425723,0,0
180, College education is worth it,Universities don’t have unlimited places available,0.10363752,-0.06597280000000001,0,0
195,Socialism is Dead,Socialism is a more secure system than the free market in Capitalism,0.8593408000000001,-0.76867276,0,0
197,Socialism is Dead,Capitalism is less secure than socialist systems. ,0.5403553000000001,-0.46034542,0,0
208,College football should replace the bowl championship series (BCS),The proposed playoff system alternatives are actually less fair than the BCS system in place.,2.2521386000000003,-2.2653708,0,0
218,Pensions should be privatised,senior citizens should not and cannot be exposed to such naked risk on moral grounds,1.6190231000000002,-1.5018348,0,0
235,You have nothing to worry about surveillance if you have done nothing wrong,People will lose their privacy.,0.64872515,-0.5247175000000001,0,0
236,You have nothing to worry about surveillance if you have done nothing wrong,Privacy will go away.,0.056640662,0.05099049,0,0
271,"In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.",It would create instability and logistical problems,2.922536,-3.0329642000000003,0,0
291,Puerto Rico should seek American statehood,Puerto Rican statehood is not economical for the US,1.3591645,-1.3450055,0,0
292,Puerto Rico should seek American statehood,Puerto Rican statehood will not benefit the US economically.,2.3533630000000003,-2.4238272000000003,0,0
293,Puerto Rico should seek American statehood,Making Puerto Rico a state is not a good economic decision for the US. ,1.9969747,-2.0282047,0,0
294,Puerto Rico should seek American statehood,Becoming a state would hurt the other 50 states.,2.9638247000000004,-3.1160335999999997,0,0
295,Puerto Rico should seek American statehood,It would be better for the US if Puerto Rico does not become a state. ,0.59113246,-0.4624888,0,0
304,The law on self defence should cover ‘grossly disproportionate’ actions,We should not allow state sponsored revenge,1.1704762,-1.0224118,0,0
305,The law on self defence should cover ‘grossly disproportionate’ actions,There is already enough leeway in the law of self defence.,0.20910424,-0.17617188,0,0
315,Animal testing should be banned.,"Animals do not have rights, therefore it is acceptable to experiment on them.",0.2299777,-0.20452863,0,0
317,Animal testing should be banned.,Animals don't have rights.,1.4288721000000002,-1.338242,0,0
328,Animal testing should be banned.,"Sometimes we have no other choices for Animal research, but then to do some animal testing. ",0.49626440000000005,-0.48050094,0,0
331,Animal testing should be banned.,"Without animal research, we would have fewer products",0.5118824000000001,-0.4133396,0,0
333,Animal testing should be banned.,There are no satisfactory alternatives to animal research,1.0586289,-0.94513476,0,0
346,Animal testing should be banned.,Animals are the only choice for testing. ,0.6151897,-0.45037895,0,0
356,Instant Replay Should Be Used in Major League Baseball,Many plays don’t lend themselves to video review,1.3965993,-1.2941537,0,0
357,Instant Replay Should Be Used in Major League Baseball,video cannot catch all plays at a game,1.5137007,-1.3511543,0,0
366,Instant Replay Should Be Used in Major League Baseball,Instant replay might be deceptive or inconclusive,2.796579,-2.8247022999999998,0,0
367,Instant Replay Should Be Used in Major League Baseball,there is confusion in viewing instant replay,2.4184647,-2.4037403999999998,0,0
368,Instant Replay Should Be Used in Major League Baseball,some things could be missed when viewing and instant replay during a game. ,0.9866228000000001,-0.8135998999999999,0,0
377,Instant Replay Should Be Used in Major League Baseball,Instant replay will take too long,1.3909235,-1.2306471,0,0
379,Instant Replay Should Be Used in Major League Baseball,Instant replay drags ut calls most umpires can make already.,0.8140684,-0.7511996999999999,0,0
380,Instant Replay Should Be Used in Major League Baseball,Tradition demands that this instant replay not be used,0.626025,-0.5631488,0,0
381,Instant Replay Should Be Used in Major League Baseball,Instant replay is not beneficial to the game,1.3582326,-1.2325959999999998,0,0
382,Instant Replay Should Be Used in Major League Baseball,Instant replay should not be used during baseball games,0.4657588,-0.38730314,0,0
392,Kill One to Save Many,The act of killing is emotionally damaging,2.7905087,-2.8679936,0,0
393,Kill One to Save Many,We instinctively know killing is wrong,0.15814671,-0.11355127,0,0
394,Kill One to Save Many,We do not want a society in which killing can be acceptable,0.016653225,-0.06754035,0,0
395,It is fine to kill one to save many,We should not will a world where killing is acceptable in to existencele in to existence,1.2404245,-1.1397073,0,0
397,It is fine to kill one to save many,We cannot support a world where killing is acceptable as long as it saves lives.,0.5781833000000001,-0.5516875,0,0
